,naics_code,fiscal_year,base_and_all_options_value
2258, SUPPORT ACTIVITIES FOR COAL MINING,2010.0,539269.4
2259, TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2016.0,540071.71
2260, DRYWALL AND INSULATION CONTRACTORS,2014.0,540208.0800000001
2261," OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",2013.0,540721.6599999999
2262, MUSICAL INSTRUMENT AND SUPPLIES STORES,2015.0,541957.8899999999
2263, ALL OTHER GRAIN FARMING,2011.0,542400.0800000001
2264, OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING,2014.0,542437.25
2265, ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING,2010.0,542771.9200000002
2266, OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,2013.0,543016.77
2267, INDUSTRIAL VALVE MANUFACTURING,2010.0,543105.9700000001
2268, KNIT FABRIC MILLS,2014.0,543516.55
2269, OTHER MILLWORK (INCLUDING FLOORING),2013.0,546620.5700000001
2270, COTTON GINNING,2015.0,546670.58
2271, MEDIA REPRESENTATIVES,2010.0,546944.2799999999
2272, FABRIC COATING MILLS,2015.0,547753.2899999999
2273, REFRIGERATED WAREHOUSING AND STORAGE,2015.0,548988.77
2274, HUNTING AND TRAPPING,2010.0,550418.21
2275," OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",2010.0,551867.3799999999
2276, BIOMASS ELECTRIC POWER GENERATION,2013.0,551988.81
2277, MEN'S CLOTHING STORES,2010.0,552158.18
2278, EXECUTIVE OFFICES,2010.0,552396.0800000001
2279, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2016.0,552485.0800000001
2280, DISTILLERIES,2014.0,552711.46
2281, PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2016.0,553578.87
2282, ELECTROMETALLURGICAL FERROALLOY PRODUCT MANUFACTURING,2012.0,554464.68
2283, RESIDENTIAL PROPERTY MANAGERS,2014.0,555964.27
2284, OTHER FOOTWEAR MANUFACTURING,2013.0,556176.4199999999
2285, ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2016.0,556573.7899999999
2286, AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2010.0,557700.06
2287, PAPERBOARD MILLS,2015.0,557710.15
2288, COMMUNITY FOOD SERVICES,2013.0,558003.05
2289, OTHER MARINE FISHING,2011.0,559986.25
2290, TORTILLA MANUFACTURING,2010.0,560511.8899999999
2291, BEEF CATTLE RANCHING AND FARMING,2015.0,560589.83
2292, BRIDGE AND TUNNEL CONSTRUCTION,2010.0,561527.06
2293, BOOK STORES,2015.0,562260.1799999998
2294," FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",2015.0,563032.6799999999
2295, READY-MIX CONCRETE MANUFACTURING,2010.0,563476.87
2296," OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",2012.0,563818.6
2297, MAIL-ORDER HOUSES,2010.0,563849.26
2298, MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2014.0,565036.73
2299, SEAFOOD PRODUCT PREPARATION AND PACKAGING,2016.0,566303.67
2300, LINE-HAUL RAILROADS,2011.0,566894.9900000001
2301, STEEL FOUNDRIES (EXCEPT INVESTMENT),2015.0,567097.14
2302, MOTION PICTURE AND VIDEO DISTRIBUTION,2015.0,568005.41
2303, PETROCHEMICAL MANUFACTURING,2015.0,568041.14
2304, EXAM PREPARATION AND TUTORING,2010.0,569337.5800000001
2305, TOUR OPERATORS,2013.0,569900.34
2306," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2014.0,570079.0400000002
2307, PRIVATE HOUSEHOLDS,2010.0,570086.5399999999
2308, COOKIE AND CRACKER MANUFACTURING,2014.0,570678.9299999999
2309, OTHER PAPERBOARD CONTAINER MANUFACTURING,2015.0,571358.2899999999
2310, FARM MANAGEMENT SERVICES,2012.0,571828.3
2311, ETHYL ALCOHOL MANUFACTURING,2012.0,572063.9700000001
2312, DAIRY CATTLE AND MILK PRODUCTION,2013.0,572095.5499999999
2313, TOUR OPERATORS,2012.0,574151.58
2314," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2015.0,574595.24
2315, LEGISLATIVE BODIES,2010.0,575953.75
2316, OPTICAL GOODS STORES,2010.0,576386.69
2317," ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2015.0,577492.91
2318, ROLLED STEEL SHAPE MANUFACTURING,2014.0,577684.3800000001
2319, OTHER MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,2010.0,577923.1499999999
2320, SOUND RECORDING STUDIOS,2011.0,577970.12
2321, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,2010.0,578098.51
2322, TIRE DEALERS,2014.0,579629.24
2323, USED MERCHANDISE STORES,2012.0,579714.08
2324, ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2014.0,582113.4400000001
2325," NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",2014.0,583896.0000000001
2326, NITROGENOUS FERTILIZER MANUFACTURING,2010.0,584094.58
2327, TELEVISION BROADCASTING,2010.0,584243.57
2328, INDUSTRIAL SAND MINING,2011.0,584983.2599999999
2329, OTHER HOSIERY AND SOCK MILLS,2013.0,585121.68
2330, TIRE CORD AND TIRE FABRIC MILLS,2012.0,586208.26
2331, LUGGAGE MANUFACTURING,2010.0,586454.4500000001
2332, REFRIGERATED WAREHOUSING AND STORAGE,2016.0,587143.43
2333, ELECTRONIC SHOPPING,2016.0,587187.7799999999
2334, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2010.0,588466.63
2335, PAYROLL SERVICES,2014.0,589274.16
2336, MARKING DEVICE MANUFACTURING,2015.0,589904.5
2337, ALL OTHER SPECIALTY FOOD STORES,2013.0,590027.77
2338, COOKIE AND CRACKER MANUFACTURING,2010.0,591081.0
2339, USED CAR DEALERS,2015.0,591878.1000000001
2340, LUGGAGE AND LEATHER GOODS STORES,2012.0,594549.2
2341, OTHER POULTRY PRODUCTION,2011.0,595609.85
2342, SPECIALTY CANNING,2016.0,596216.88
2343, OTHER PERSONAL CARE SERVICES,2013.0,596256.49
2344, MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,2013.0,596620.0
2345, TAX PREPARATION SERVICES,2011.0,597315.38
2346, BUSINESS TO BUSINESS ELECTRONIC MARKETS,2011.0,597615.2200000001
2347, TAX PREPARATION SERVICES,2015.0,598061.11
2348, VOLUNTARY HEALTH ORGANIZATIONS,2016.0,599006.17
2349, ALL OTHER HOME FURNISHINGS STORES,2010.0,599228.8500000001
2350, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2012.0,601519.8699999999
2351, CREDIT CARD ISSUING,2012.0,601607.2
2352, STEEL INVESTMENT FOUNDRIES,2011.0,601975.07
2353, DIRECT MAIL ADVERTISING,2016.0,602865.59
2354, NARROW FABRIC MILLS,2015.0,603191.38
2355," ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",2016.0,603583.48
2356, HUNTING AND TRAPPING,2015.0,605365.26
2357, SNACK AND NONALCOHOLIC BEVERAGE BARS,2011.0,605797.4400000001
2358, WOOD CONTAINER AND PALLET MANUFACTURING,2010.0,606453.63
2359, ALL OTHER ANIMAL PRODUCTION,2014.0,607310.02
2360, FERTILIZER (MIXING ONLY) MANUFACTURING,2011.0,610490.88
2361, DAIRY CATTLE AND MILK PRODUCTION,2014.0,610778.1000000001
2362, PORT AND HARBOR OPERATIONS,2010.0,611142.97
2363, OTHER LIGHTING EQUIPMENT MANUFACTURING,2014.0,611487.4100000001
2364, LUGGAGE MANUFACTURING,2013.0,613603.87
2365, HUNTING AND TRAPPING,2013.0,614132.03
2366, RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2015.0,615352.3899999999
2367, SOUND RECORDING STUDIOS,2015.0,616278.34
2368," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",2013.0,616618.13
2369, CASINO HOTELS,2010.0,617184.73
2370, ENVELOPE MANUFACTURING,2014.0,617898.9299999998
2371, STEAM AND AIR-CONDITIONING SUPPLY,2014.0,618293.26
2372," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",2015.0,618966.4500000001
2373, NEWSPRINT MILLS,2015.0,619401.03
2374, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2015.0,620781.81
2375, SPRING MANUFACTURING,2015.0,620873.1599999999
2376, NONRESIDENTIAL PROPERTY MANAGERS,2016.0,621821.97
2377, ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,2013.0,622450.8200000001
2378, ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,2012.0,622454.3699999999
2379, JUNIOR COLLEGES,2014.0,622602.96
2380, ALL OTHER ANIMAL PRODUCTION,2010.0,626121.6699999999
2381, COMMERCIAL SCREEN PRINTING,2014.0,628006.49
2382, ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2010.0,630918.33
2383, TOILET PREPARATION MANUFACTURING,2013.0,631432.3600000001
2384, FERTILIZER (MIXING ONLY) MANUFACTURING,2014.0,632920.27
2385, COFFEE AND TEA MANUFACTURING,2015.0,633142.0
2386, WOOD PRESERVATION,2013.0,634704.63
2387, SHOE STORES,2013.0,635115.1799999999
2388, FRAMING CONTRACTORS,2010.0,635454.63
2389, OTHER SUPPORT ACTIVITIES FOR WATER TRANSPORTATION,2014.0,635614.9299999999
2390," GENERAL FREIGHT TRUCKING, LOCAL",2014.0,636718.94
2391, AIR TRAFFIC CONTROL,2010.0,639616.07
2392, SYNTHETIC DYE AND PIGMENT MANUFACTURING,2015.0,639661.48
2393, RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2013.0,639740.76
2394, AIR PURIFICATION EQUIPMENT MANUFACTURING,2014.0,639800.6099999996
2395, OTHER GASOLINE STATIONS,2010.0,640957.64
2396, NEWS DEALERS AND NEWSSTANDS,2013.0,641379.6999999997
2397, SCHEDULED PASSENGER AIR TRANSPORTATION,2010.0,642032.84
2398, GRANTMAKING FOUNDATIONS,2011.0,642673.65
2399, MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,2015.0,642771.1600000001
2400, ALL OTHER GRAIN FARMING,2012.0,643961.4900000001
2401, MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,2015.0,644660.2300000001
2402, WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2010.0,644700.4199999999
2403," ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",2015.0,646686.27
2404," SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",2016.0,646908.25
2405, MEN'S CLOTHING STORES,2014.0,647716.76
2406, OFFICES OF OTHER HOLDING COMPANIES,2012.0,647952.3899999999
2407, SAW BLADE AND HANDSAW MANUFACTURING,2016.0,648222.2
2408, LIME MANUFACTURING,2013.0,649459.71
2409, COTTON GINNING,2011.0,649545.96
2410, RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS),2013.0,651213.5800000001
2411, SAWMILLS,2010.0,651555.43
2412, TELEVISION BROADCASTING,2014.0,651935.0799999997
2413, COURTS,2012.0,652044.9400000001
2414, MUSEUMS,2014.0,652651.16
2415, OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,2014.0,652680.6300000001
2416, MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,2010.0,653722.4800000001
2417, ALUMINUM DIE-CASTING FOUNDRIES,2011.0,653926.9199999999
2418," LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",2014.0,661195.2400000001
2419, FLOOR COVERING STORES,2014.0,661567.8400000001
2420, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2015.0,661881.1199999999
2421, AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2014.0,662519.6599999999
2422, FIBER OPTIC CABLE MANUFACTURING,2014.0,662907.9500000001
2423," CROP HARVESTING, PRIMARILY BY MACHINE",2015.0,663121.9099999999
2424," OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",2012.0,663357.8499999999
2425, SALES FINANCING,2012.0,663408.6799999999
2426, HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2016.0,663488.07
2427, BEEF CATTLE RANCHING AND FARMING,2010.0,666555.2
2428, ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,2014.0,667117.2900000002
2429, ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,2015.0,667410.8400000001
2430," ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",2015.0,668008.36
2431, MINERAL WOOL MANUFACTURING,2016.0,668109.54
2432, INTERURBAN AND RURAL BUS TRANSPORTATION,2015.0,668516.24
2433, UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2014.0,669631.2700000003
2434, ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING,2014.0,670735.4099999999
2435, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2013.0,672509.32
2436, AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2015.0,672573.7
2437, SYNTHETIC RUBBER MANUFACTURING,2013.0,672904.3600000002
2438, IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,2014.0,672927.6300000001
2439, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2010.0,674028.69
2440," PHOTOGRAPHY STUDIOS, PORTRAIT",2016.0,676714.55
2441, EMPLOYMENT PLACEMENT AGENCIES,2014.0,676949.79
2442, POTATO FARMING,2011.0,677667.66
2443, OTHER AIRPORT OPERATIONS,2014.0,678484.75
2444, COSMETOLOGY AND BARBER SCHOOLS,2012.0,679316.3
2445, TRAVEL TRAILER AND CAMPER MANUFACTURING,2010.0,682834.22
2446, CATTLE FEEDLOTS,2011.0,683996.26
2447, HOUSEHOLD APPLIANCE STORES,2016.0,684558.400000001
2448, CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,2014.0,686831.9900000001
2449, DRILLING OIL AND GAS WELLS,2015.0,687068.5900000001
2450, SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),2013.0,687466.08
2451," GIFT, NOVELTY, AND SOUVENIR STORES",2014.0,690111.41
2452, VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,2015.0,691346.5699999998
2453, SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,2015.0,693366.76
2454, PUBLIC FINANCE ACTIVITIES,2011.0,694634.9600000001
2455, LEATHER AND HIDE TANNING AND FINISHING,2014.0,695628.26
2456, USED MERCHANDISE STORES,2016.0,696493.1300000001
2457, MARKING DEVICE MANUFACTURING,2013.0,697939.2099999997
2458, HORSES AND OTHER EQUINE PRODUCTION,2013.0,698988.6499999999
2459, SOFTWOOD VENEER AND PLYWOOD MANUFACTURING,2013.0,699613.59
2460, ALL OTHER GENERAL MERCHANDISE STORES,2014.0,699757.89
2461," MEN'S AND BOYS' CUT AND SEW SUIT, COAT, AND OVERCOAT MANUFACTURING",2013.0,699790.65
2462, APPLIANCE REPAIR AND MAINTENANCE,2014.0,699966.3999999999
2463, REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2014.0,700841.4600000001
2464, OTHER ELECTRIC POWER GENERATION,2016.0,701798.0
2465," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES WHOLESALERS",2010.0,702131.2899999999
2466," PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",2014.0,702911.7299999999
2467, RECORD PRODUCTION,2013.0,703147.64
2468, SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),2015.0,703877.78
2469, HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,2014.0,704119.9299999999
2470, COTTON GINNING,2014.0,705555.1
2471, AIR AND GAS COMPRESSOR MANUFACTURING,2014.0,705808.7899999999
2472, OTHER GRANTMAKING AND GIVING SERVICES,2016.0,707188.0
2473, VIDEO TAPE AND DISC RENTAL,2011.0,707542.43
2474, SUPPORT ACTIVITIES FOR COAL MINING,2016.0,707559.6200000005
2475, LEATHER AND HIDE TANNING AND FINISHING,2012.0,709024.5600000002
2476, DIRECT TITLE INSURANCE CARRIERS,2016.0,710297.23
2477, BOAT DEALERS,2014.0,712323.45
2478, RECORD PRODUCTION,2012.0,713602.36
2479, OTHER CHEMICAL AND FERTILIZER MINERAL MINING,2010.0,713667.66
2480, CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2014.0,713856.7700000003
2481, ADVERTISING MATERIAL DISTRIBUTION SERVICES,2015.0,715765.83
2482," EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2012.0,717254.8600000001
2483," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2011.0,717256.23
2484, LIMITED-SERVICE RESTAURANTS,2013.0,717919.5900000001
2485, FLOOR COVERING STORES,2016.0,718411.8299999997
2486, USED CAR DEALERS,2012.0,719027.72
2487, FINFISH FARMING AND FISH HATCHERIES,2016.0,719479.55
2488, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2011.0,720407.84
2489, HUNTING AND TRAPPING,2014.0,720898.59
2490, ELECTRON TUBE MANUFACTURING,2010.0,722235.8
2491, ALL OTHER HOME FURNISHINGS STORES,2015.0,722297.8400000001
2492," HAT, CAP, AND MILLINERY MANUFACTURING",2010.0,723312.41
2493," REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2014.0,723602.45
2494, SHEET METAL WORK MANUFACTURING,2014.0,723904.1200000002
2495, BOOK STORES,2013.0,725503.8199999997
2496, PLASTICS BOTTLE MANUFACTURING,2013.0,726916.4400000001
2497, POWER-DRIVEN HANDTOOL MANUFACTURING,2014.0,728616.5399999998
2498, PAPERBOARD MILLS,2011.0,728727.19
2499, PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,2010.0,728769.36
2500, CONTINUING CARE RETIREMENT COMMUNITIES,2012.0,728819.95
2501, OTHER FINANCIAL VEHICLES,2013.0,729630.74
2502, RECREATIONAL VEHICLE DEALERS,2014.0,730692.6199999998
2503, ROOMING AND BOARDING HOUSES,2013.0,730735.2300000001
2504, ALL OTHER TRAVELER ACCOMMODATION,2013.0,731096.12
2505, MATERIALS RECOVERY FACILITIES,2010.0,731492.29
2506, GROUND OR TREATED MINERAL AND EARTH MANUFACTURING,2010.0,732916.9900000001
2507, GOAT FARMING,2012.0,734969.7
2508, VOLUNTARY HEALTH ORGANIZATIONS,2015.0,737164.0
2509, PLASTICS MATERIAL AND RESIN MANUFACTURING,2014.0,739022.8200000002
2510, FERTILIZER (MIXING ONLY) MANUFACTURING,2013.0,739203.8500000001
2511, FOLDING PAPERBOARD BOX MANUFACTURING,2013.0,740346.2600000002
2512, RADIO NETWORKS,2010.0,743112.5099999999
2513, OTHER LIGHTING EQUIPMENT MANUFACTURING,2010.0,743177.17
2514, MATERIALS RECOVERY FACILITIES,2014.0,744768.8299999998
2515, NEWS SYNDICATES,2010.0,746441.0399999999
2516, CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2010.0,748895.72
2517, INTERURBAN AND RURAL BUS TRANSPORTATION,2010.0,748960.64
2518, ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,2016.0,749083.98
2519, CONCRETE BLOCK AND BRICK MANUFACTURING,2010.0,750604.52
2520, OTHER APPAREL KNITTING MILLS,2013.0,751147.1299999999
2521, COTTON GINNING,2012.0,751391.9
2522, FARM MANAGEMENT SERVICES,2011.0,751779.91
2523, ROLLING MILL AND OTHER METALWORKING MACHINERY MANUFACTURING,2015.0,753046.4
2524, BITUMINOUS COAL UNDERGROUND MINING,2015.0,753120.0
2525, OFFICES OF PODIATRISTS,2013.0,753433.16
2526, PET AND PET SUPPLIES STORES,2013.0,754675.5
2527, OTHER PERSONAL CARE SERVICES,2012.0,756015.4
2528, EXAM PREPARATION AND TUTORING,2016.0,757652.34
2529, TORTILLA MANUFACTURING,2015.0,758859.73
2530, METAL STAMPING,2014.0,761183.4
2531, SUPPORT ACTIVITIES FOR PRINTING,2016.0,761942.6900000001
2532," FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",2016.0,762450.32
2533, EXECUTIVE SEARCH SERVICES,2013.0,762972.9299999999
2534, HORSES AND OTHER EQUINE PRODUCTION,2011.0,765780.0399999999
2535, OUTDOOR POWER EQUIPMENT STORES,2015.0,766260.7300000001
2536, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2012.0,767574.9599999997
2537," CUT STOCK, RESAWING LUMBER, AND PLANING",2013.0,768153.5099999998
2538, TIRE DEALERS,2013.0,768611.7599999997
2539, OTHER MILLWORK (INCLUDING FLOORING),2016.0,768759.23
2540, INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,2012.0,769061.97
2541, COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,2013.0,769198.6100000001
2542, SHELLFISH FISHING,2013.0,770500.0
2543, DIMENSION STONE MINING AND QUARRYING,2015.0,771495.9299999999
2544, AIR TRAFFIC CONTROL,2015.0,771664.63
2545, POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,2013.0,772053.1000000001
2546, WOOD PRESERVATION,2010.0,773459.2099999998
2547," OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2015.0,774665.24
2548, ROOMING AND BOARDING HOUSES,2016.0,775090.9500000002
2549, DAIRY CATTLE AND MILK PRODUCTION,2016.0,775620.68
2550, MOTOR HOME MANUFACTURING,2010.0,776196.12
2551, NONWOVEN FABRIC MILLS,2010.0,776582.44
2552, MAIL-ORDER HOUSES,2015.0,777801.5499999999
2553, ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2014.0,779194.5
2554, RECREATIONAL VEHICLE DEALERS,2016.0,781330.3099999999
2555, SILVERWARE AND HOLLOWWARE MANUFACTURING,2012.0,781722.47
2556, READY-MIX CONCRETE MANUFACTURING,2015.0,782799.46
2557, LINE-HAUL RAILROADS,2016.0,782933.92
2558, CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,2010.0,784245.82
2559, STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2011.0,785063.9399999991
2560, PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,2011.0,787736.7300000001
2561, POLYSTYRENE FOAM PRODUCT MANUFACTURING,2015.0,788188.45
2562, DRILLING OIL AND GAS WELLS,2012.0,788684.93
2563, WINDOW TREATMENT STORES,2015.0,789356.8999999999
2564, ELECTRIC LAMP BULB AND PART MANUFACTURING,2014.0,789665.0700000002
2565, OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,2010.0,789722.5199999999
2566, OTHER NONSCHEDULED AIR TRANSPORTATION,2014.0,789736.85
2567, RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2015.0,789864.92
2568, GOAT FARMING,2016.0,791840.96
2569, OTHER MILLWORK (INCLUDING FLOORING),2011.0,792248.5800000001
2570, TEXTILE AND FABRIC FINISHING MILLS,2014.0,792369.61
2571, BITUMINOUS COAL UNDERGROUND MINING,2016.0,792829.31
2572, FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2016.0,793116.25
2573, TORTILLA MANUFACTURING,2014.0,793929.61
2574, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2013.0,794085.2300000002
2575," PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2010.0,794649.5600000003
2576, TIMBER TRACT OPERATIONS,2012.0,795252.5700000001
2577, VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,2014.0,795359.8099999999
2578, REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2014.0,795461.7700000001
2579," AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2010.0,795764.23
2580," CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2011.0,795818.9099999999
2581, MINING MACHINERY AND EQUIPMENT MANUFACTURING,2016.0,796554.12
2582, STEEL INVESTMENT FOUNDRIES,2012.0,797838.6000000001
2583, GENERAL RENTAL CENTERS,2014.0,798055.52
2584, INDUSTRIAL DESIGN SERVICES,2015.0,798736.03
2585, OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),2014.0,798990.32
2586, PAPER INDUSTRY MACHINERY MANUFACTURING,2012.0,799658.74
2587, STEEL FOUNDRIES (EXCEPT INVESTMENT),2011.0,800537.2599999999
2588, COMMUNITY FOOD SERVICES,2012.0,801169.7600000001
2589, OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2014.0,801215.42
2590, COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2011.0,802282.4400000001
2591, OFFICES OF NOTARIES,2010.0,802674.22
2592, HUNTING AND TRAPPING,2012.0,803256.8
2593, OTHER GASOLINE STATIONS,2016.0,805229.2000000002
2594, MACHINE TOOL MANUFACTURING,2014.0,811950.6699999999
2595, OTHER INSURANCE FUNDS,2013.0,812001.1799999999
2596, PET CARE (EXCEPT VETERINARY) SERVICES,2010.0,812154.4
2597, ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING,2013.0,813467.0
2598, CASINO HOTELS,2012.0,815058.4200000002
2599, OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2014.0,818520.63
2600, OTHER COMMERCIAL PRINTING,2016.0,820730.99
2601, HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2010.0,822780.9999999999
2602, RESIDENTIAL ELECTRIC LIGHTING FIXTURE MANUFACTURING,2010.0,822850.2799999998
2603, LEATHER AND HIDE TANNING AND FINISHING,2011.0,822998.93
2604, POWER-DRIVEN HANDTOOL MANUFACTURING,2010.0,825438.7799999999
2605, TAXI SERVICE,2014.0,825664.9700000001
2606, TRAVEL TRAILER AND CAMPER MANUFACTURING,2014.0,826082.4
2607, MARKING DEVICE MANUFACTURING,2010.0,827718.3600000001
2608, DIGITAL PRINTING,2014.0,828368.12
2609, MOTION PICTURE AND VIDEO DISTRIBUTION,2010.0,831783.86
2610, METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,2015.0,833010.2599999999
2611, OTHER SPECTATOR SPORTS,2013.0,833282.9
2612, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2016.0,834313.7
2613, PACKAGING MACHINERY MANUFACTURING,2014.0,834602.7000000001
2614, INDUSTRIAL MOLD MANUFACTURING,2016.0,834926.6600000001
2615, OFFICES OF OPTOMETRISTS,2014.0,834986.1999999998
2616, FRAMING CONTRACTORS,2014.0,836996.4199999999
2617, FOOD (HEALTH) SUPPLEMENT STORES,2012.0,838159.2399999998
2618, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2011.0,838829.53
2619, INLAND WATER PASSENGER TRANSPORTATION,2016.0,839719.24
