,agency_index,fiscal_year,base_and_all_options_value
392, FEDERAL ELECTION COMMISSION,2006.0,6334581.090000002
393, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2005.0,6357461.21
394, RAILROAD RETIREMENT BOARD,2005.0,6418943.220000001
395, FEDERAL COMMUNICATIONS COMMISSION,2000.0,6426466.59
396, MERIT SYSTEMS PROTECTION BOARD,2012.0,6701759.529999999
397, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2008.0,6770616.609999999
398, CONSUMER PRODUCT SAFETY COMMISSION,2007.0,6903402.729999999
399, LIBRARY OF CONGRESS,2002.0,7000000.0
400, FEDERAL EMERGENCY MANAGEMENT AGENCY,2001.0,7000000.0
401, BROADCASTING BOARD OF GOVERNORS,2008.0,7192043.999999999
402," LABOR, DEPARTMENT OF",2001.0,7280654.62
403," HOMELAND SECURITY, DEPARTMENT OF",2010.0,7346225.709999999
404, SMALL BUSINESS ADMINISTRATION,2001.0,7491753.62
405, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2006.0,7664487.54
406, FEDERAL COMMUNICATIONS COMMISSION,2003.0,7711000.0
407, SECURITIES AND EXCHANGE COMMISSION,2014.0,7887707.24
408, FEDERAL ENERGY REGULATORY COMMISSION,2015.0,7932410.699999998
409, MILLENIUM CHALLENGE CORPORATION,2010.0,7992559.24
410, NATIONAL GALLERY OF ART,2004.0,8017032.879999999
411, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2008.0,8130455.7
412, AGENCY FOR INTERNATIONAL DEVELOPMENT,2010.0,8297701.51
413, FEDERAL MEDIATION AND CONCILIATION SERVICE,2012.0,8306345.16
414, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2004.0,8893498.36
415, NATIONAL ENDOWMENT FOR THE HUMANITIES,2009.0,8990567.0
416," COMMERCE, DEPARTMENT OF",2000.0,9045150.5
417, COMMODITY FUTURES TRADING COMMISSION,2016.0,9230488.24
418," INTERIOR, DEPARTMENT OF THE",2000.0,9326323.249999998
419, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2006.0,9330962.840000002
420, CONSUMER PRODUCT SAFETY COMMISSION,2004.0,9411307.61
421, EXECUTIVE OFFICE OF THE PRESIDENT,2004.0,9411849.869999997
422, OFFICE OF PERSONNEL MANAGEMENT,2003.0,9486849.86
423, NATIONAL TRANSPORTATION SAFETY BOARD,2005.0,9596916.899999999
424, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2013.0,9623735.59
425, NATIONAL LABOR RELATIONS BOARD,2015.0,9694702.08
426, FEDERAL LABOR RELATIONS AUTHORITY,2011.0,9703633.33
427, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2007.0,9790166.99
428, NATIONAL LABOR RELATIONS BOARD,2005.0,9821847.08
429," ENERGY, DEPARTMENT OF",2014.0,9890506.82
430, INTERNATIONAL TRADE COMMISSION,2016.0,9924820.57
431, INTERNATIONAL TRADE COMMISSION,2015.0,10101153.420000002
432, National Foundation on the Arts and the Humanities,2015.0,10108944.880000003
433, INTERNATIONAL TRADE COMMISSION,2009.0,10208485.549999997
434, NATIONAL GALLERY OF ART,2005.0,10253560.270000003
435, NATIONAL GALLERY OF ART,2010.0,10447652.92
436, NATIONAL TRANSPORTATION SAFETY BOARD,2011.0,10662486.88
437, FEDERAL ELECTION COMMISSION,2007.0,10983545.25999999
438, LIBRARY OF CONGRESS,2014.0,11000000.0
439, LIBRARY OF CONGRESS,2009.0,11050000.0
440, NATIONAL TRANSPORTATION SAFETY BOARD,2006.0,11121234.159999995
441," EDUCATION, DEPARTMENT OF",2000.0,11483864.0
442, RAILROAD RETIREMENT BOARD,2006.0,11498517.169999998
443, BROADCASTING BOARD OF GOVERNORS,2003.0,11605087.299999999
444, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2008.0,11634617.180000002
445, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2011.0,11682461.209999997
446, NATIONAL GALLERY OF ART,2007.0,11693142.82
447, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2014.0,11922569.250000002
448, SOCIAL SECURITY ADMINISTRATION,2000.0,11965263.32
449, NATIONAL GALLERY OF ART,2009.0,11976760.520000026
450, INTERNATIONAL TRADE COMMISSION,2004.0,12037054.32
451, CONSUMER PRODUCT SAFETY COMMISSION,2016.0,12039829.439999998
452, GOVERNMENT ACCOUNTABILITY OFFICE,2008.0,12044806.8
453, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2008.0,12319616.280000003
454, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2005.0,12441126.28
455, COMMODITY FUTURES TRADING COMMISSION,2005.0,12613209.030000001
456, GOVERNMENT ACCOUNTABILITY OFFICE,2010.0,12615133.05
457, INTERNATIONAL TRADE COMMISSION,2011.0,12681706.030000007
458, NATIONAL SCIENCE FOUNDATION,2003.0,13126093.0
459, RAILROAD RETIREMENT BOARD,2007.0,13224769.089999998
460, CONSUMER PRODUCT SAFETY COMMISSION,2006.0,13406486.579999996
461, OVERSEAS PRIVATE INVESTMENT CORPORATION,2016.0,13822541.889999999
462, FEDERAL ELECTION COMMISSION,2015.0,13907466.599999996
463, NATIONAL GALLERY OF ART,2003.0,13972031.0
464, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2011.0,14294739.93
465, RAILROAD RETIREMENT BOARD,2009.0,14312808.309999995
466, PEACE CORPS,2005.0,14329777.659999996
467, NUCLEAR REGULATORY COMMISSION,2002.0,14569089.980000002
468, NATIONAL SCIENCE FOUNDATION,2002.0,14609397.38
469," AGRICULTURE, DEPARTMENT OF",2001.0,14699838.01
470, OFFICE OF PERSONNEL MANAGEMENT,2000.0,15017601.29
471, EXECUTIVE OFFICE OF THE PRESIDENT,2008.0,15080524.2
472, NATIONAL TRANSPORTATION SAFETY BOARD,2009.0,15097319.179999994
473, PEACE CORPS,2004.0,15127138.020000001
474, BROADCASTING BOARD OF GOVERNORS,2004.0,15349331.290000001
475, INTERNATIONAL TRADE COMMISSION,2012.0,15492327.090000005
476, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2002.0,15545162.100000001
477, Department of Transportation,2014.0,15610679.479999999
478, MILLENIUM CHALLENGE CORPORATION,2005.0,15632583.88
479, SMITHSONIAN INSTITUTION,2001.0,15701903.7
480, SMITHSONIAN INSTITUTION,2000.0,15814833.250000002
481, SOCIAL SECURITY ADMINISTRATION,2001.0,15885662.68
482, NATIONAL SCIENCE FOUNDATION,2004.0,16157454.249999998
483, GOVERNMENT ACCOUNTABILITY OFFICE,2016.0,16301879.389999999
484, RAILROAD RETIREMENT BOARD,2012.0,16329475.700000003
485, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2010.0,16618613.429999998
486, FEDERAL HOUSING FINANCE AGENCY,2009.0,16976618.629999995
487, NATIONAL TRANSPORTATION SAFETY BOARD,2013.0,17159174.380000003
488, FEDERAL ELECTION COMMISSION,2013.0,17203146.549999997
489, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2013.0,17208284.220000003
490, INTERNATIONAL TRADE COMMISSION,2013.0,17285785.310000002
491, FEDERAL TRADE COMMISSION,2016.0,17372820.21
492, NATIONAL LABOR RELATIONS BOARD,2011.0,17421796.199999988
493, NATIONAL GALLERY OF ART,2006.0,17585165.119999997
494, NATIONAL LABOR RELATIONS BOARD,2007.0,17977444.080000002
495, NATIONAL TRANSPORTATION SAFETY BOARD,2012.0,18608579.26
496, FEDERAL ELECTION COMMISSION,2011.0,18715254.969999995
497, NATIONAL LABOR RELATIONS BOARD,2012.0,18935615.520000014
498, EXECUTIVE OFFICE OF THE PRESIDENT,2005.0,18983761.3
499, FEDERAL TRADE COMMISSION,2008.0,19045002.959999997
500, SMALL BUSINESS ADMINISTRATION,2008.0,19097313.469999995
501, NATIONAL LABOR RELATIONS BOARD,2006.0,19483045.86999999
502, BROADCASTING BOARD OF GOVERNORS,2005.0,19901414.030000012
503, FEDERAL ENERGY REGULATORY COMMISSION,2005.0,20171071.13
504, RAILROAD RETIREMENT BOARD,2016.0,20437950.15999999
505, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2007.0,20515547.03000001
506, NATIONAL LABOR RELATIONS BOARD,2008.0,20546346.610000003
507, NATIONAL LABOR RELATIONS BOARD,2013.0,21393388.620000005
508, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2016.0,21656630.14
509, COMMODITY FUTURES TRADING COMMISSION,2008.0,21906747.330000002
510, MILLENIUM CHALLENGE CORPORATION,2008.0,22399936.650000002
511, CONSUMER FINANCIAL PROTECTION BUREAU,2016.0,22585583.11
512, NATIONAL LABOR RELATIONS BOARD,2009.0,22935864.039999988
513,,2001.0,22952785.0
514, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2006.0,23127956.849999994
515, RAILROAD RETIREMENT BOARD,2011.0,23273444.880000003
516," HOMELAND SECURITY, DEPARTMENT OF",2001.0,23447073.799999997
517, FEDERAL ENERGY REGULATORY COMMISSION,2006.0,23593577.490000002
518, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2007.0,24045717.85
519, COMMODITY FUTURES TRADING COMMISSION,2006.0,24560089.250000007
520, SMALL BUSINESS ADMINISTRATION,2005.0,24915278.250000007
521, FEDERAL COMMUNICATIONS COMMISSION,2008.0,24965332.789999995
522, OVERSEAS PRIVATE INVESTMENT CORPORATION,2011.0,25075190.040000003
523, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2009.0,25969764.159999996
524, GOVERNMENT ACCOUNTABILITY OFFICE,2011.0,25999397.729999997
525, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2004.0,26035746.080000006
526, FEDERAL ELECTION COMMISSION,2009.0,26131567.949999996
527, NATIONAL GALLERY OF ART,2013.0,26257166.380000006
528, CONSUMER PRODUCT SAFETY COMMISSION,2015.0,26424328.200000007
529, LIBRARY OF CONGRESS,2003.0,26500000.0
530, National Aeronautics and Space Administration,2014.0,26545396.169999994
531, RAILROAD RETIREMENT BOARD,2013.0,26690850.909999993
532, PEACE CORPS,2013.0,26810198.55999999
533, OVERSEAS PRIVATE INVESTMENT CORPORATION,2012.0,27101219.909999996
534, ENVIRONMENTAL PROTECTION AGENCY,2000.0,27562456.48999999
535, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2012.0,27908047.980000004
536, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2009.0,28059585.799999993
537, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2009.0,28171968.14999999
538, NATIONAL TRANSPORTATION SAFETY BOARD,2007.0,28172838.770000003
539, FEDERAL ENERGY REGULATORY COMMISSION,2013.0,28204068.27
540, FEDERAL COMMUNICATIONS COMMISSION,2016.0,28291494.499999996
541, SMITHSONIAN INSTITUTION,2002.0,28566990.160000004
542, GOVERNMENT ACCOUNTABILITY OFFICE,2009.0,28624353.93
543," EDUCATION, DEPARTMENT OF",2002.0,28739597.360000003
544, CONSUMER FINANCIAL PROTECTION BUREAU,2012.0,28854165.999999996
545, COMMODITY FUTURES TRADING COMMISSION,2015.0,28879123.950000003
546, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2012.0,28934977.45000001
547, CONSUMER FINANCIAL PROTECTION BUREAU,2015.0,29062233.65
548, PEACE CORPS,2012.0,29067261.94999999
549, CONSUMER PRODUCT SAFETY COMMISSION,2009.0,29127894.089999985
550," EDUCATION, DEPARTMENT OF",2001.0,29619068.68
551, PEACE CORPS,2011.0,30324913.76
552, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2005.0,30751631.909999996
553, OVERSEAS PRIVATE INVESTMENT CORPORATION,2015.0,30805797.06
554, COMMODITY FUTURES TRADING COMMISSION,2007.0,31038126.75000002
555, PEACE CORPS,2014.0,31540175.650000002
556, CONSUMER PRODUCT SAFETY COMMISSION,2011.0,31673830.82
557, FEDERAL TRADE COMMISSION,2006.0,31696665.680000015
558, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2016.0,31722194.039999995
559, EXECUTIVE OFFICE OF THE PRESIDENT,2016.0,32028080.39
560, NATIONAL GALLERY OF ART,2011.0,32089248.889999993
561, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2008.0,33007171.85999999
562, SECURITIES AND EXCHANGE COMMISSION,2008.0,33060246.369999994
563, FEDERAL ENERGY REGULATORY COMMISSION,2009.0,33707947.43
564, CONSUMER PRODUCT SAFETY COMMISSION,2012.0,33811459.589999996
565, PEACE CORPS,2010.0,33975824.58
566, NATIONAL SCIENCE FOUNDATION,2008.0,34189257.93000001
567, SECURITIES AND EXCHANGE COMMISSION,2016.0,34654423.779999964
568, NUCLEAR REGULATORY COMMISSION,2003.0,35319126.45999999
569," COMMERCE, DEPARTMENT OF",2001.0,36319039.980000004
570, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2003.0,36657383.15
571, FEDERAL ENERGY REGULATORY COMMISSION,2011.0,36969835.51
572, AGENCY FOR INTERNATIONAL DEVELOPMENT,2000.0,37871359.67
573, SOCIAL SECURITY ADMINISTRATION,2002.0,37939196.63000001
574, CONSUMER PRODUCT SAFETY COMMISSION,2013.0,38117981.06000002
575, FEDERAL ELECTION COMMISSION,2012.0,38408993.050000004
576, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2007.0,38649854.260000035
577, Department of Transportation,2000.0,38894685.989999995
578, NATIONAL GALLERY OF ART,2012.0,39330115.260000005
579, SMITHSONIAN INSTITUTION,2003.0,39669274.63
580, NATIONAL SCIENCE FOUNDATION,2016.0,39735998.13
581, FEDERAL ENERGY REGULATORY COMMISSION,2012.0,40616817.55999999
582, COMMODITY FUTURES TRADING COMMISSION,2009.0,40706603.26
583, RAILROAD RETIREMENT BOARD,2015.0,41022178.73000002
584, SECURITIES AND EXCHANGE COMMISSION,2004.0,42140140.03
585, NUCLEAR REGULATORY COMMISSION,2008.0,42507314.68999999
586, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2016.0,43357495.64000002
587, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2004.0,43865646.07999999
588, GOVERNMENT ACCOUNTABILITY OFFICE,2014.0,44001322.120000005
589, SOCIAL SECURITY ADMINISTRATION,2003.0,44070738.58
590, FEDERAL TRADE COMMISSION,2009.0,44608923.410000004
591, FEDERAL TRADE COMMISSION,2007.0,44845014.22000001
592, ENVIRONMENTAL PROTECTION AGENCY,2001.0,44909427.45
593, PEACE CORPS,2006.0,45244143.20999999
594, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2011.0,45475208.069999985
595," JUSTICE, DEPARTMENT OF",2000.0,45515758.32
596, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2013.0,45545996.970000006
597, PEACE CORPS,2007.0,46277068.78000001
598, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2013.0,47560236.49999999
599, FEDERAL TRADE COMMISSION,2010.0,47969937.55999998
600, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2009.0,48044733.78999998
601, FEDERAL COMMUNICATIONS COMMISSION,2010.0,48432690.92999999
602, PENSION BENEFIT GUARANTY CORPORATION,2008.0,49712317.07000001
603, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2015.0,49959092.11000001
604, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2012.0,49970292.359999985
605, GOVERNMENT ACCOUNTABILITY OFFICE,2012.0,49997378.280000016
606, MILLENIUM CHALLENGE CORPORATION,2012.0,50504829.10000003
607, CONSUMER FINANCIAL PROTECTION BUREAU,2013.0,50989105.04
608, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2011.0,51424781.87999999
609, MILLENIUM CHALLENGE CORPORATION,2016.0,51983543.230000004
610, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2012.0,52954254.74
611, General Services Administration,2014.0,53694795.23000005
612, COMMODITY FUTURES TRADING COMMISSION,2011.0,53885922.269999996
613," INTERIOR, DEPARTMENT OF THE",2001.0,54326092.49
614, EXECUTIVE OFFICE OF THE PRESIDENT,2006.0,54687018.0
615, EXECUTIVE OFFICE OF THE PRESIDENT,2007.0,55693433.8
616, BROADCASTING BOARD OF GOVERNORS,2016.0,57009719.95000001
617, BROADCASTING BOARD OF GOVERNORS,2013.0,57066533.479999974
618, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2011.0,57137879.49000003
619, SMALL BUSINESS ADMINISTRATION,2004.0,57897769.910000004
620, OVERSEAS PRIVATE INVESTMENT CORPORATION,2013.0,57999925.1
621, EXECUTIVE OFFICE OF THE PRESIDENT,2012.0,58270485.750000045
622, NATIONAL SCIENCE FOUNDATION,2005.0,58446994.18000001
623, SMITHSONIAN INSTITUTION,2008.0,58948821.16000001
624, PEACE CORPS,2009.0,59201833.32999999
625, MILLENIUM CHALLENGE CORPORATION,2013.0,59267711.220000006
626," COMMERCE, DEPARTMENT OF",2002.0,59309157.330000006
627, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2007.0,59647141.89000005
628, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2006.0,59890143.69000003
629, FEDERAL COMMUNICATIONS COMMISSION,2005.0,59930711.61999997
630," AGRICULTURE, DEPARTMENT OF",2002.0,60197410.21
631, LIBRARY OF CONGRESS,2013.0,60850000.0
632, FEDERAL TRADE COMMISSION,2015.0,61121810.330000006
633, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2011.0,62028314.37000005
634, FEDERAL TRADE COMMISSION,2012.0,62110180.33000004
635, EXECUTIVE OFFICE OF THE PRESIDENT,2009.0,63754883.77999996
636, SMALL BUSINESS ADMINISTRATION,2016.0,63802776.25000001
637," LABOR, DEPARTMENT OF",2002.0,64164222.74999999
638, BROADCASTING BOARD OF GOVERNORS,2015.0,65827202.98999998
639," STATE, DEPARTMENT OF",2001.0,66193004.31000001
640, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2009.0,66978349.41000002
641, PENSION BENEFIT GUARANTY CORPORATION,2015.0,67920019.46000001
642," HOMELAND SECURITY, DEPARTMENT OF",2002.0,69133080.53000002
643, Department of Health and Human Services,2014.0,70122458.59999998
644, NATIONAL SCIENCE FOUNDATION,2012.0,72075024.65000002
645, SECURITIES AND EXCHANGE COMMISSION,2005.0,72385078.99000001
646, SOCIAL SECURITY ADMINISTRATION,2014.0,74177532.23999992
647, EXECUTIVE OFFICE OF THE PRESIDENT,2010.0,74986380.68
648," TREASURY, DEPARTMENT OF THE",2000.0,75186807.30000016
649, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2005.0,75595833.95000002
650, FEDERAL TRADE COMMISSION,2011.0,75942524.03999999
651," STATE, DEPARTMENT OF",2000.0,76617278.77
652, GOVERNMENT ACCOUNTABILITY OFFICE,2015.0,77064701.88999997
653, FEDERAL COMMUNICATIONS COMMISSION,2013.0,77664351.39000005
654, NUCLEAR REGULATORY COMMISSION,2016.0,77694004.94999999
655, NUCLEAR REGULATORY COMMISSION,2004.0,78101231.73
656, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2013.0,81015460.93
657, COMMODITY FUTURES TRADING COMMISSION,2012.0,81335360.91999997
658," EDUCATION, DEPARTMENT OF",2008.0,81431738.35000001
659, ENVIRONMENTAL PROTECTION AGENCY,2002.0,82437218.42999998
660, SMALL BUSINESS ADMINISTRATION,2006.0,82909757.71999995
661, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2006.0,83967691.11
662, MILLENIUM CHALLENGE CORPORATION,2009.0,84985103.47
663," EDUCATION, DEPARTMENT OF",2003.0,85782164.16
664," LABOR, DEPARTMENT OF",2009.0,86138149.30000001
665, EXECUTIVE OFFICE OF THE PRESIDENT,2014.0,88441336.41999994
666, COMMODITY FUTURES TRADING COMMISSION,2013.0,89662473.92999995
667,,2002.0,89748919.06
668, AGENCY FOR INTERNATIONAL DEVELOPMENT,2016.0,90100189.70000008
669, EXECUTIVE OFFICE OF THE PRESIDENT,2013.0,90569487.88
670, GOVERNMENT ACCOUNTABILITY OFFICE,2013.0,91047065.88999999
671, BROADCASTING BOARD OF GOVERNORS,2009.0,91240698.35000008
672, PENSION BENEFIT GUARANTY CORPORATION,2006.0,91799765.62
673, OFFICE OF PERSONNEL MANAGEMENT,2004.0,92344680.47
674, NATIONAL SCIENCE FOUNDATION,2009.0,94757553.75
675, FEDERAL TRADE COMMISSION,2013.0,95010347.35000005
676," TREASURY, DEPARTMENT OF THE",2001.0,95047102.9900004
677, EXECUTIVE OFFICE OF THE PRESIDENT,2011.0,96100736.45000005
678, SMALL BUSINESS ADMINISTRATION,2007.0,98048389.79999994
679, SMITHSONIAN INSTITUTION,2005.0,98270025.66999997
680, FEDERAL COMMUNICATIONS COMMISSION,2007.0,98721661.45999995
681, NATIONAL SCIENCE FOUNDATION,2015.0,98998284.48
682, National Aeronautics and Space Administration,2002.0,99546054.48999992
683, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2004.0,100231114.77999997
684, SOCIAL SECURITY ADMINISTRATION,2008.0,101723039.83999991
685, MILLENIUM CHALLENGE CORPORATION,2007.0,101865920.73000003
686, SMALL BUSINESS ADMINISTRATION,2013.0,101910996.77000003
687, Department of Transportation,2001.0,102032680.82
688, OFFICE OF PERSONNEL MANAGEMENT,2008.0,103703961.41000001
689, MILLENIUM CHALLENGE CORPORATION,2006.0,104566714.07000001
690, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001.0,105463586.82
691, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2010.0,106412428.51999995
692, FEDERAL COMMUNICATIONS COMMISSION,2006.0,107313852.55000006
693, FEDERAL COMMUNICATIONS COMMISSION,2011.0,107556984.35000002
694, BROADCASTING BOARD OF GOVERNORS,2006.0,108939384.82000001
695, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2012.0,109981404.30000007
696, SMALL BUSINESS ADMINISTRATION,2009.0,110215837.07000008
697, SMITHSONIAN INSTITUTION,2010.0,111788087.73000002
698," ENERGY, DEPARTMENT OF",2013.0,112483258.26000145
699, SMITHSONIAN INSTITUTION,2016.0,113861642.88
700, SMALL BUSINESS ADMINISTRATION,2012.0,114138173.72999994
701, NATIONAL SCIENCE FOUNDATION,2013.0,114559615.7099999
702, NATIONAL SCIENCE FOUNDATION,2006.0,114749669.94
703, BROADCASTING BOARD OF GOVERNORS,2011.0,114876985.72999996
704, SECURITIES AND EXCHANGE COMMISSION,2009.0,117210656.85000001
705, OFFICE OF PERSONNEL MANAGEMENT,2016.0,118159401.02000019
706," COMMERCE, DEPARTMENT OF",2003.0,118713290.63999999
707, FEDERAL COMMUNICATIONS COMMISSION,2012.0,120168848.02999999
708," EDUCATION, DEPARTMENT OF",2015.0,121577468.02000004
709, NUCLEAR REGULATORY COMMISSION,2005.0,123352382.92999998
710, FEDERAL COMMUNICATIONS COMMISSION,2015.0,127582688.13
711, EXECUTIVE OFFICE OF THE PRESIDENT,2015.0,128491605.21000001
712, Department of Defense,2000.0,130070104.54000007
713, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2005.0,133611575.17999996
714, OFFICE OF PERSONNEL MANAGEMENT,2005.0,134867366.71
715, SMALL BUSINESS ADMINISTRATION,2015.0,135069011.77
716, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002.0,139761289.88
717," JUSTICE, DEPARTMENT OF",2001.0,142887728.07000002
718," STATE, DEPARTMENT OF",2002.0,142937881.43000004
719," INTERIOR, DEPARTMENT OF THE",2002.0,143051813.17000002
720," LABOR, DEPARTMENT OF",2003.0,143058232.69
721," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2008.0,143367047.98000002
722, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2011.0,143646326.1800001
723, NUCLEAR REGULATORY COMMISSION,2009.0,144850763.88000008
724, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2007.0,147290233.29999998
725, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006.0,148517375.16999954
726," EDUCATION, DEPARTMENT OF",2016.0,148920594.4699999
727, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2006.0,150941764.25000012
728, SMALL BUSINESS ADMINISTRATION,2011.0,151429776.3600001
729, SECURITIES AND EXCHANGE COMMISSION,2007.0,152692211.33000004
730, PENSION BENEFIT GUARANTY CORPORATION,2010.0,153123239.03999993
731, BROADCASTING BOARD OF GOVERNORS,2007.0,153131920.38999996
732, MILLENIUM CHALLENGE CORPORATION,2011.0,156238259.6500001
733, PENSION BENEFIT GUARANTY CORPORATION,2011.0,158430430.71000013
734,,2003.0,158682180.65
735, BROADCASTING BOARD OF GOVERNORS,2012.0,163882679.47999987
736," TREASURY, DEPARTMENT OF THE",2002.0,165064507.89999968
737," ENERGY, DEPARTMENT OF",2000.0,166010639.11999995
738, SMITHSONIAN INSTITUTION,2006.0,171044643.83
739, FEDERAL COMMUNICATIONS COMMISSION,2009.0,172822170.37999997
740, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2009.0,173715874.09
741, SOCIAL SECURITY ADMINISTRATION,2004.0,174916216.33999994
742, SECURITIES AND EXCHANGE COMMISSION,2006.0,175285143.61000007
743, PENSION BENEFIT GUARANTY CORPORATION,2007.0,178402113.38
744, PENSION BENEFIT GUARANTY CORPORATION,2012.0,179562052.01999998
745, NUCLEAR REGULATORY COMMISSION,2006.0,183937862.06
746, NUCLEAR REGULATORY COMMISSION,2015.0,186680114.10000035
747, PENSION BENEFIT GUARANTY CORPORATION,2013.0,186958926.10999995
748, NATIONAL SCIENCE FOUNDATION,2007.0,187933279.45000002
749, Department of Transportation,2002.0,190750011.14
750, PENSION BENEFIT GUARANTY CORPORATION,2009.0,193857309.29000008
751, PENSION BENEFIT GUARANTY CORPORATION,2014.0,197304156.99000007
752," HOMELAND SECURITY, DEPARTMENT OF",2014.0,202167813.9300001
753, NUCLEAR REGULATORY COMMISSION,2013.0,205183818.03999987
754, SMITHSONIAN INSTITUTION,2007.0,210006628.39000002
755," ENERGY, DEPARTMENT OF",2004.0,214309081.77000004
756," ENERGY, DEPARTMENT OF",2012.0,214957288.8100017
757, ENVIRONMENTAL PROTECTION AGENCY,2003.0,218051939.64000008
758," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2003.0,219077053.03000003
759, SOCIAL SECURITY ADMINISTRATION,2005.0,224557269.13999963
760," VETERANS AFFAIRS, DEPARTMENT OF",2000.0,226036159.57999995
761," ENERGY, DEPARTMENT OF",2001.0,228146146.23
762," LABOR, DEPARTMENT OF",2005.0,236900953.90999994
763, ENVIRONMENTAL PROTECTION AGENCY,2008.0,237080546.96999982
764, NUCLEAR REGULATORY COMMISSION,2007.0,237738686.06999996
765, NUCLEAR REGULATORY COMMISSION,2011.0,238539268.21999994
766, SMITHSONIAN INSTITUTION,2009.0,238926873.43000042
767," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2002.0,241276646.85999998
768, SMITHSONIAN INSTITUTION,2012.0,247918860.77000028
769, Department of Transportation,2003.0,248742853.30000004
770," JUSTICE, DEPARTMENT OF",2002.0,248772647.74999997
771," TREASURY, DEPARTMENT OF THE",2014.0,249160131.3900001
772, SMITHSONIAN INSTITUTION,2011.0,252668314.83000004
773," LABOR, DEPARTMENT OF",2008.0,256349304.75999984
774," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2001.0,259802366.0
775, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004.0,260906418.44000003
776, SECURITIES AND EXCHANGE COMMISSION,2012.0,262057286.66000015
777," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2000.0,265020081.0
