,agency_index,fiscal_year,base_and_all_options_value
413," TREASURY, DEPARTMENT OF THE",2000,90881461.84000011
414, PENSION BENEFIT GUARANTY CORPORATION,2006,91793303.82000001
415," JUSTICE, DEPARTMENT OF",2002,93124701.78999996
416, OFFICE OF PERSONNEL MANAGEMENT,2004,94403874.47
417, MILLENIUM CHALLENGE CORPORATION,2006,94950388.64000003
418, SMALL BUSINESS ADMINISTRATION,2007,95589179.66999994
419, FEDERAL COMMUNICATIONS COMMISSION,2007,99734598.55999994
420, SMITHSONIAN INSTITUTION,2005,99835004.74000001
421, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2004,101450778.75999998
422, SOCIAL SECURITY ADMINISTRATION,2008,102959376.73999992
423, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001,105463586.82
424, FEDERAL COMMUNICATIONS COMMISSION,2006,109134048.15000007
425," TREASURY, DEPARTMENT OF THE",2001,111269617.63000037
426, NATIONAL SCIENCE FOUNDATION,2006,116223046.69
427, OFFICE OF PERSONNEL MANAGEMENT,2008,117517699.70000002
428," INTERIOR, DEPARTMENT OF THE",2002,121985965.00999999
429, MILLENIUM CHALLENGE CORPORATION,2007,122908291.08000001
430, NUCLEAR REGULATORY COMMISSION,2005,124283348.49
431, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002,129396288.63
432, OFFICE OF PERSONNEL MANAGEMENT,2005,136271463.94
433, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2005,138677487.22
434," STATE, DEPARTMENT OF",2002,138875604.16000003
435," LABOR, DEPARTMENT OF",2003,141751110.43
436, SECURITIES AND EXCHANGE COMMISSION,2009,141912868.14000002
437,,2003,148809015.65
438," EDUCATION, DEPARTMENT OF",2008,149504059.54999998
439," COMMERCE, DEPARTMENT OF",2003,149515550.76000002
440," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2008,150803142.89000008
441, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2007,151921163.59999987
442, Department of Transportation,2002,152129224.09
443, SECURITIES AND EXCHANGE COMMISSION,2007,153603052.0800001
444," TREASURY, DEPARTMENT OF THE",2002,165224248.45999965
445, SMITHSONIAN INSTITUTION,2006,170706246.88000003
446, SECURITIES AND EXCHANGE COMMISSION,2006,173629341.28
447, SOCIAL SECURITY ADMINISTRATION,2004,174495049.3999999
448, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2009,178682680.83000004
449, NUCLEAR REGULATORY COMMISSION,2006,178776789.09
450, PENSION BENEFIT GUARANTY CORPORATION,2007,179569199.71
451, NATIONAL SCIENCE FOUNDATION,2007,180887379.85000002
452, FEDERAL COMMUNICATIONS COMMISSION,2009,181497658.67999998
453, NATIONAL SCIENCE FOUNDATION,2009,183296858.29000002
454, ENVIRONMENTAL PROTECTION AGENCY,2003,184533403.8400001
455," VETERANS AFFAIRS, DEPARTMENT OF",2000,185255057.01999995
456," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2001,195483780.0
457," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2003,198602356.92
458, SMITHSONIAN INSTITUTION,2007,203625927.65000004
459, Department of Transportation,2003,204678892.84000006
460, PENSION BENEFIT GUARANTY CORPORATION,2009,210768999.4
461, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2006,219241278.9200002
462," ENERGY, DEPARTMENT OF",2000,219761741.55999988
463," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2002,225371014.86
464, NUCLEAR REGULATORY COMMISSION,2007,227543804.04000002
465, Department of Defense,2000,230094507.73000014
466, SOCIAL SECURITY ADMINISTRATION,2005,231668828.82999974
467, SMITHSONIAN INSTITUTION,2009,234861113.5500004
468, NUCLEAR REGULATORY COMMISSION,2009,241943616.69000003
469, ENVIRONMENTAL PROTECTION AGENCY,2008,250941038.1899998
470," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2000,254742756.0
471," VETERANS AFFAIRS, DEPARTMENT OF",2001,255538354.21999994
472, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004,260906418.44000003
473," LABOR, DEPARTMENT OF",2008,261862908.37999976
474, Department of Defense,2001,263319993.64000002
475, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003,268609110.3299999
476," JUSTICE, DEPARTMENT OF",2003,285806026.96999973
477," AGRICULTURE, DEPARTMENT OF",2003,291932480.53000003
478," STATE, DEPARTMENT OF",2003,300521187.9300001
479, OFFICE OF PERSONNEL MANAGEMENT,2006,318156702.52999985
480," ENERGY, DEPARTMENT OF",2001,329362729.28
481," VETERANS AFFAIRS, DEPARTMENT OF",2002,333436454.5899999
482," INTERIOR, DEPARTMENT OF THE",2003,335827920.68999976
483, SOCIAL SECURITY ADMINISTRATION,2007,346746588.6499999
484," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2005,348268310.12000006
485," HOMELAND SECURITY, DEPARTMENT OF",2003,361414975.6800001
486, ENVIRONMENTAL PROTECTION AGENCY,2004,362123655.30999994
487, SOCIAL SECURITY ADMINISTRATION,2006,370599219.9799986
488," ENERGY, DEPARTMENT OF",2008,389749835.9700004
489, National Aeronautics and Space Administration,2000,393631071.38
490," LABOR, DEPARTMENT OF",2005,413019903.7199999
491," EDUCATION, DEPARTMENT OF",2005,423328461.24000007
492," TREASURY, DEPARTMENT OF THE",2003,429779999.8999972
493," ENERGY, DEPARTMENT OF",2002,455836540.6100001
494, OFFICE OF PERSONNEL MANAGEMENT,2007,482131788.63000035
495," EDUCATION, DEPARTMENT OF",2004,502585312.95
496,,2007,509548475.42000073
497," ENERGY, DEPARTMENT OF",2003,516018836.69000006
498," COMMERCE, DEPARTMENT OF",2008,527191015.26999974
499," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2007,531784672.4800002
500," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2009,542068770.02
501, ENVIRONMENTAL PROTECTION AGENCY,2005,557975503.3999976
502, SOCIAL SECURITY ADMINISTRATION,2009,595276021.5200002
503,,2006,608821544.4400007
504, National Aeronautics and Space Administration,2001,629769945.1800001
505," LABOR, DEPARTMENT OF",2004,634023960.2200001
506," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2006,636533196.8299998
507, National Aeronautics and Space Administration,2002,644580176.4500002
508," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2004,657465102.53
509," ENERGY, DEPARTMENT OF",2004,678080478.2500001
510, OFFICE OF PERSONNEL MANAGEMENT,2009,681447784.5700006
511," VETERANS AFFAIRS, DEPARTMENT OF",2003,706985343.7900006
512," EDUCATION, DEPARTMENT OF",2007,710289547.4599994
513, National Aeronautics and Space Administration,2008,783418838.4799997
514," STATE, DEPARTMENT OF",2008,792429809.6099993
515," EDUCATION, DEPARTMENT OF",2009,807577004.49
516," INTERIOR, DEPARTMENT OF THE",2008,810204385.3300009
517,,2009,817941921.2300005
518, Department of Defense,2004,819269091.5200013
519," EDUCATION, DEPARTMENT OF",2006,825522488.5400002
520, AGENCY FOR INTERNATIONAL DEVELOPMENT,2008,858006745.5800005
521," TREASURY, DEPARTMENT OF THE",2008,884051663.6400005
522, Department of Transportation,2005,914662034.4500003
523, Department of Transportation,2004,967300766.76
524, National Aeronautics and Space Administration,2003,996359336.3600001
525," LABOR, DEPARTMENT OF",2007,999364564.8699986
526," AGRICULTURE, DEPARTMENT OF",2008,1113307606.6299965
527," ENERGY, DEPARTMENT OF",2005,1120677746.0500002
528," LABOR, DEPARTMENT OF",2006,1122736307.7500007
529, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005,1143628780.0199997
530," STATE, DEPARTMENT OF",2004,1152961551.7300012
531, ENVIRONMENTAL PROTECTION AGENCY,2007,1161200787.68
532," COMMERCE, DEPARTMENT OF",2004,1190367841.9799995
533," COMMERCE, DEPARTMENT OF",2005,1244663254.1699996
534," JUSTICE, DEPARTMENT OF",2008,1289898267.1000032
535, ENVIRONMENTAL PROTECTION AGENCY,2009,1306555452.72
536, National Aeronautics and Space Administration,2004,1330546665.3900006
537, Department of Health and Human Services,2008,1332441299.5800033
538, ENVIRONMENTAL PROTECTION AGENCY,2006,1338833296.6100025
539, Department of Health and Human Services,2000,1479794692.7000017
540," ENERGY, DEPARTMENT OF",2007,1535766384.0700035
541, National Aeronautics and Space Administration,2005,1541790931.6199992
542," JUSTICE, DEPARTMENT OF",2004,1603693574.430001
543," ENERGY, DEPARTMENT OF",2006,1604637516.6499984
544, Department of Transportation,2008,1675328874.500003
545," STATE, DEPARTMENT OF",2005,1792464012.7200036
546, Department of Transportation,2006,1805321047.5999997
547," HOMELAND SECURITY, DEPARTMENT OF",2004,1868594115.7399983
548," AGRICULTURE, DEPARTMENT OF",2004,1906094631.8400042
549," TREASURY, DEPARTMENT OF THE",2004,1931467573.7800002
550, Department of Health and Human Services,2004,2181821807.029997
551, General Services Administration,2000,2282842753.1700006
552," ENERGY, DEPARTMENT OF",2009,2283906118.349995
553," COMMERCE, DEPARTMENT OF",2007,2289042574.820003
554," HOMELAND SECURITY, DEPARTMENT OF",2008,2401936127.990002
555," TREASURY, DEPARTMENT OF THE",2005,2441013468.0900083
556," COMMERCE, DEPARTMENT OF",2009,2442132802.6599994
557," AGRICULTURE, DEPARTMENT OF",2005,2450475872.110004
558, Department of Health and Human Services,2001,2458862234.36
559," COMMERCE, DEPARTMENT OF",2006,2638588429.000012
560," INTERIOR, DEPARTMENT OF THE",2004,2666573824.290015
561," JUSTICE, DEPARTMENT OF",2005,2725942862.219991
562, National Aeronautics and Space Administration,2006,2762550948.130004
563, National Aeronautics and Space Administration,2007,2818246325.380005
564, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006,2836418301.04
565, Department of Defense,2005,2913939078.5600038
566, Department of Health and Human Services,2002,2967860476.1700015
567, General Services Administration,2001,3027315715.420001
568," STATE, DEPARTMENT OF",2006,3135593343.0700088
569," VETERANS AFFAIRS, DEPARTMENT OF",2008,3163244783.369834
570," VETERANS AFFAIRS, DEPARTMENT OF",2004,3204927683.7800026
571," INTERIOR, DEPARTMENT OF THE",2005,3216416911.7199826
572, AGENCY FOR INTERNATIONAL DEVELOPMENT,2009,3222459601.440008
573," TREASURY, DEPARTMENT OF THE",2007,3379954868.7499995
574, Department of Health and Human Services,2003,3533997013.5499997
575," INTERIOR, DEPARTMENT OF THE",2009,3580880239.4000006
576," STATE, DEPARTMENT OF",2007,3600168501.619998
577," INTERIOR, DEPARTMENT OF THE",2007,3684880448.119975
578, National Aeronautics and Space Administration,2009,3716063519.8699956
579," TREASURY, DEPARTMENT OF THE",2009,3737288139.0499935
580," STATE, DEPARTMENT OF",2009,3775278088.450005
581, AGENCY FOR INTERNATIONAL DEVELOPMENT,2007,3795831917.2099996
582," JUSTICE, DEPARTMENT OF",2006,3949793985.9499726
583," AGRICULTURE, DEPARTMENT OF",2006,4038069640.370002
584," AGRICULTURE, DEPARTMENT OF",2007,4404171486.439991
585," JUSTICE, DEPARTMENT OF",2007,4437080638.880039
586," TREASURY, DEPARTMENT OF THE",2006,4599054426.519988
587, General Services Administration,2002,4655699724.369998
588," INTERIOR, DEPARTMENT OF THE",2006,4763682761.4699745
589," VETERANS AFFAIRS, DEPARTMENT OF",2005,4777063608.809992
590," AGRICULTURE, DEPARTMENT OF",2009,4870756232.630012
591, Department of Health and Human Services,2005,4976349565.470004
592," JUSTICE, DEPARTMENT OF",2009,4992753435.649992
593, Department of Defense,2002,5161718428.260002
594, General Services Administration,2003,6035506155.66
595, Department of Transportation,2009,6201059026.129992
596, Department of Transportation,2007,6333021777.119987
597, Department of Defense,2003,6485200588.750004
598," HOMELAND SECURITY, DEPARTMENT OF",2005,7114738493.109966
599, Department of Health and Human Services,2009,7376816100.950036
600," VETERANS AFFAIRS, DEPARTMENT OF",2006,8194837278.40841
601, Department of Health and Human Services,2007,9098661745.339983
602," HOMELAND SECURITY, DEPARTMENT OF",2009,9247035030.369957
603, General Services Administration,2004,10232544328.909863
604," HOMELAND SECURITY, DEPARTMENT OF",2007,10251992061.389917
605," HOMELAND SECURITY, DEPARTMENT OF",2006,10548066974.369911
606," VETERANS AFFAIRS, DEPARTMENT OF",2007,11129078369.058435
607, General Services Administration,2005,12802923811.62939
608, Department of Health and Human Services,2006,13369683493.670067
609," VETERANS AFFAIRS, DEPARTMENT OF",2009,14152073337.109682
610, General Services Administration,2008,23860549747.020126
611, Department of Defense,2006,32911965405.97011
612, Department of Defense,2008,35872315498.82999
613, General Services Administration,2007,49958437615.10912
614, General Services Administration,2006,51294907780.19767
615, Department of Defense,2009,96995783790.27835
616, Department of Defense,2007,124280301459.63037
617, General Services Administration,2009,137589377921.23898
