,agency_index,fiscal_year,base_and_all_options_value
413, OFFICE OF PERSONNEL MANAGEMENT,2004,94403874.47
414, BROADCASTING BOARD OF GOVERNORS,2009,94829348.15000011
415, SMALL BUSINESS ADMINISTRATION,2007,98101906.90999994
416," TREASURY, DEPARTMENT OF THE",2000,98763048.84000012
417, FEDERAL COMMUNICATIONS COMMISSION,2007,99734598.55999994
418, SMITHSONIAN INSTITUTION,2005,99835004.74000001
419, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2004,101450778.75999998
420, Department of Transportation,2001,102708822.97999999
421, SOCIAL SECURITY ADMINISTRATION,2008,102959376.73999992
422, MILLENIUM CHALLENGE CORPORATION,2006,105475466.24000002
423, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001,105493586.82
424, FEDERAL COMMUNICATIONS COMMISSION,2006,109684048.15000007
425, SMALL BUSINESS ADMINISTRATION,2009,110324139.15000008
426," TREASURY, DEPARTMENT OF THE",2001,111519617.63000037
427, BROADCASTING BOARD OF GOVERNORS,2006,113348764.80000001
428, OFFICE OF PERSONNEL MANAGEMENT,2008,117517699.70000002
429, NATIONAL SCIENCE FOUNDATION,2006,121823046.69
430, NUCLEAR REGULATORY COMMISSION,2005,124283348.49
431, MILLENIUM CHALLENGE CORPORATION,2007,129260103.48000002
432, OFFICE OF PERSONNEL MANAGEMENT,2005,136271463.94
433, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2005,138677487.22
434, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002,139906288.63
435," STATE, DEPARTMENT OF",2002,142965610.44000003
436," LABOR, DEPARTMENT OF",2003,143095564.21
437," INTERIOR, DEPARTMENT OF THE",2002,143335448.01000002
438," EDUCATION, DEPARTMENT OF",2008,149504059.54999998
439," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2008,150803142.89000008
440, SECURITIES AND EXCHANGE COMMISSION,2009,151475585.84
441," JUSTICE, DEPARTMENT OF",2001,153156162.08
442, BROADCASTING BOARD OF GOVERNORS,2007,153924469.41999993
443, SECURITIES AND EXCHANGE COMMISSION,2007,157140180.5800001
444,,2003,158682180.65
445, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2007,163410414.97999987
446, SMITHSONIAN INSTITUTION,2006,172271923.71
447, SOCIAL SECURITY ADMINISTRATION,2004,176095049.39999995
448," TREASURY, DEPARTMENT OF THE",2002,176331763.65999967
449," COMMERCE, DEPARTMENT OF",2003,178107516.26000002
450, SECURITIES AND EXCHANGE COMMISSION,2006,178793274.97
451, PENSION BENEFIT GUARANTY CORPORATION,2007,184736145.71
452, FEDERAL COMMUNICATIONS COMMISSION,2009,184997658.67999998
453, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2009,188520621.56000006
454, NATIONAL SCIENCE FOUNDATION,2007,189387379.85000002
455, NUCLEAR REGULATORY COMMISSION,2006,190507221.12
456, NATIONAL SCIENCE FOUNDATION,2009,192012142.60000002
457, Department of Transportation,2002,194859414.11
458, SMITHSONIAN INSTITUTION,2007,210472612.02
459, PENSION BENEFIT GUARANTY CORPORATION,2009,217768999.4
460, ENVIRONMENTAL PROTECTION AGENCY,2003,218333080.5300001
461," ENERGY, DEPARTMENT OF",2000,219761741.55999988
462, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2006,223521114.2900002
463, SOCIAL SECURITY ADMINISTRATION,2005,231668828.82999974
464, Department of Defense,2000,241321832.76000017
465, SMITHSONIAN INSTITUTION,2009,243100367.0900004
466," JUSTICE, DEPARTMENT OF",2002,248977355.66999996
467, Department of Transportation,2003,250375553.04000008
468, ENVIRONMENTAL PROTECTION AGENCY,2008,250941038.1899998
469, NUCLEAR REGULATORY COMMISSION,2007,254900913.46
470, NUCLEAR REGULATORY COMMISSION,2009,255549784.21000004
471," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2003,260621668.92
472, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004,260906418.44000003
473," VETERANS AFFAIRS, DEPARTMENT OF",2000,261730289.87999994
474," LABOR, DEPARTMENT OF",2008,261862908.37999976
475," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2002,262888819.86
476," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2001,269279914.0
477, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003,276213118.33
478," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2000,292172007.0
479, OFFICE OF PERSONNEL MANAGEMENT,2006,321455644.0499999
480," ENERGY, DEPARTMENT OF",2001,329502729.28
481, Department of Defense,2001,339364282.98
482," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2005,348268310.12000006
483," AGRICULTURE, DEPARTMENT OF",2003,356990692.67
484," STATE, DEPARTMENT OF",2003,357605734.2300002
485, ENVIRONMENTAL PROTECTION AGENCY,2004,362123655.30999994
486," VETERANS AFFAIRS, DEPARTMENT OF",2001,367450246.84
487," ENERGY, DEPARTMENT OF",2008,389749835.9700004
488," INTERIOR, DEPARTMENT OF THE",2003,402529217.5799998
489," LABOR, DEPARTMENT OF",2005,413019903.7199999
490, National Aeronautics and Space Administration,2000,415389242.38
491," EDUCATION, DEPARTMENT OF",2005,423328461.24000007
492," HOMELAND SECURITY, DEPARTMENT OF",2003,443129156.00000006
493," ENERGY, DEPARTMENT OF",2002,456869084.6100001
494," TREASURY, DEPARTMENT OF THE",2003,458970114.15999717
495, SOCIAL SECURITY ADMINISTRATION,2007,485099223.41999984
496, OFFICE OF PERSONNEL MANAGEMENT,2007,486583213.40000033
497, SOCIAL SECURITY ADMINISTRATION,2006,490384720.51999885
498," EDUCATION, DEPARTMENT OF",2004,502585312.95
499,,2007,523756297.0500008
500," ENERGY, DEPARTMENT OF",2003,523770443.65000004
501," COMMERCE, DEPARTMENT OF",2008,527191015.26999974
502," VETERANS AFFAIRS, DEPARTMENT OF",2002,532775722.36999995
503, ENVIRONMENTAL PROTECTION AGENCY,2005,557975503.3999976
504," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2007,608614294.4800001
505," LABOR, DEPARTMENT OF",2004,634023960.2200001
506," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2009,638929877.02
507,,2006,639990233.4200008
508, National Aeronautics and Space Administration,2001,640377174.1800001
509," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2004,657490102.53
510, National Aeronautics and Space Administration,2002,667814365.6200001
511," ENERGY, DEPARTMENT OF",2004,678080478.2500001
512," EDUCATION, DEPARTMENT OF",2007,710424547.4599994
513," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2006,717149619.8299998
514," JUSTICE, DEPARTMENT OF",2003,718072485.4099996
515, OFFICE OF PERSONNEL MANAGEMENT,2009,739912844.2900007
516, National Aeronautics and Space Administration,2008,785918838.4799997
517," STATE, DEPARTMENT OF",2008,792429809.6099993
518," INTERIOR, DEPARTMENT OF THE",2008,810204385.3300009
519, SOCIAL SECURITY ADMINISTRATION,2009,821017731.340002
520, Department of Defense,2004,821352890.5200013
521," EDUCATION, DEPARTMENT OF",2009,826142519.5200001
522," EDUCATION, DEPARTMENT OF",2006,827458537.2800001
523,,2009,847119263.1400002
524, AGENCY FOR INTERNATIONAL DEVELOPMENT,2008,858006745.5800005
525," TREASURY, DEPARTMENT OF THE",2008,884051663.6400005
526, Department of Transportation,2005,914662034.4500003
527, Department of Transportation,2004,967300766.76
528," VETERANS AFFAIRS, DEPARTMENT OF",2003,1027198853.8300004
529, National Aeronautics and Space Administration,2003,1075754201.36
530," AGRICULTURE, DEPARTMENT OF",2008,1113307606.6299965
531," ENERGY, DEPARTMENT OF",2005,1120677746.0500002
532," LABOR, DEPARTMENT OF",2007,1127504588.1699984
533, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005,1143628780.0199997
534," STATE, DEPARTMENT OF",2004,1156714889.710001
535," COMMERCE, DEPARTMENT OF",2004,1190559129.9799998
536," LABOR, DEPARTMENT OF",2006,1199425078.870001
537," COMMERCE, DEPARTMENT OF",2005,1244663254.1699996
538," JUSTICE, DEPARTMENT OF",2008,1289994071.2200034
539, Department of Health and Human Services,2008,1332441299.5800033
540, National Aeronautics and Space Administration,2004,1333546665.3900006
541, ENVIRONMENTAL PROTECTION AGENCY,2007,1382119676.6000004
542, ENVIRONMENTAL PROTECTION AGENCY,2009,1456953557.8500006
543, National Aeronautics and Space Administration,2005,1541790931.6199992
544, ENVIRONMENTAL PROTECTION AGENCY,2006,1589981552.410003
545," ENERGY, DEPARTMENT OF",2007,1599842512.9400034
546," JUSTICE, DEPARTMENT OF",2004,1604950815.930001
547," ENERGY, DEPARTMENT OF",2006,1663540355.149999
548, Department of Transportation,2008,1675328874.500003
549, Department of Health and Human Services,2000,1754420399.9500008
550," STATE, DEPARTMENT OF",2005,1792464012.7200036
551," HOMELAND SECURITY, DEPARTMENT OF",2004,1873752298.9199984
552," AGRICULTURE, DEPARTMENT OF",2004,1906102908.0400043
553," TREASURY, DEPARTMENT OF THE",2004,1946036843.520001
554, Department of Health and Human Services,2004,2183046645.029997
555, Department of Transportation,2006,2193444599.7400007
556," ENERGY, DEPARTMENT OF",2009,2331724439.4599953
557, General Services Administration,2000,2336662942.21
558," HOMELAND SECURITY, DEPARTMENT OF",2008,2415635383.0000024
559," COMMERCE, DEPARTMENT OF",2007,2430328100.0900025
560," TREASURY, DEPARTMENT OF THE",2005,2441013468.0900083
561," AGRICULTURE, DEPARTMENT OF",2005,2450475872.110004
562," COMMERCE, DEPARTMENT OF",2009,2601315879.789995
563," INTERIOR, DEPARTMENT OF THE",2004,2670360807.600016
564," JUSTICE, DEPARTMENT OF",2005,2725942862.219991
565," COMMERCE, DEPARTMENT OF",2006,2769060961.3400126
566, Department of Defense,2005,2913939078.5600038
567, National Aeronautics and Space Administration,2006,2952612017.8600044
568, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006,2957015795.5899997
569, National Aeronautics and Space Administration,2007,3064630980.2500043
570, Department of Health and Human Services,2001,3069978450.480003
571, General Services Administration,2001,3084793754.020001
572," VETERANS AFFAIRS, DEPARTMENT OF",2008,3163244783.369834
573," VETERANS AFFAIRS, DEPARTMENT OF",2004,3205955177.000003
574," INTERIOR, DEPARTMENT OF THE",2005,3216416911.7199826
575, AGENCY FOR INTERNATIONAL DEVELOPMENT,2009,3287437100.2600083
576, Department of Health and Human Services,2002,3316398149.410005
577," STATE, DEPARTMENT OF",2006,3351581596.0400095
578," TREASURY, DEPARTMENT OF THE",2007,3531171989.320001
579," INTERIOR, DEPARTMENT OF THE",2009,3812173295.950004
580," INTERIOR, DEPARTMENT OF THE",2007,3875253206.469975
581," STATE, DEPARTMENT OF",2007,3877783378.3999968
582, Department of Health and Human Services,2003,3912172042.749998
583, AGENCY FOR INTERNATIONAL DEVELOPMENT,2007,3915177133.8599997
584, National Aeronautics and Space Administration,2009,3982950083.8399954
585," TREASURY, DEPARTMENT OF THE",2009,3992530019.6199923
586," STATE, DEPARTMENT OF",2009,4041160616.089998
587," JUSTICE, DEPARTMENT OF",2006,4399983725.489974
588," AGRICULTURE, DEPARTMENT OF",2006,4401613928.069997
589, General Services Administration,2002,4735078887.069997
590," TREASURY, DEPARTMENT OF THE",2006,4758350799.759989
591," VETERANS AFFAIRS, DEPARTMENT OF",2005,4777063608.809992
592," AGRICULTURE, DEPARTMENT OF",2007,4845129024.599992
593," INTERIOR, DEPARTMENT OF THE",2006,4888463576.199976
594, Department of Health and Human Services,2005,4976349565.470004
595," JUSTICE, DEPARTMENT OF",2007,5176291478.650038
596," AGRICULTURE, DEPARTMENT OF",2009,5435447440.739999
597," JUSTICE, DEPARTMENT OF",2009,5668459506.440029
598, Department of Transportation,2009,6418388151.619988
599, General Services Administration,2003,6433623345.869999
600, Department of Transportation,2007,6816494343.069979
601," HOMELAND SECURITY, DEPARTMENT OF",2005,7114738493.109966
602, Department of Defense,2002,7570053362.370004
603, Department of Health and Human Services,2009,7885075707.090038
604," VETERANS AFFAIRS, DEPARTMENT OF",2006,9051591367.388363
605, Department of Defense,2003,9315138809.100006
606, Department of Health and Human Services,2007,9612623334.249985
607," HOMELAND SECURITY, DEPARTMENT OF",2009,9966355805.989975
608, General Services Administration,2004,10250946028.539852
609," HOMELAND SECURITY, DEPARTMENT OF",2007,10846460942.579926
610," HOMELAND SECURITY, DEPARTMENT OF",2006,11228599236.159912
611," VETERANS AFFAIRS, DEPARTMENT OF",2007,12197873680.738436
612, General Services Administration,2005,12802923811.62939
613, Department of Health and Human Services,2006,13826523341.530067
614," VETERANS AFFAIRS, DEPARTMENT OF",2009,16009952593.899605
615, General Services Administration,2008,23860985515.660126
616, Department of Defense,2008,35894982862.55998
617, Department of Defense,2006,39960421630.0901
618, General Services Administration,2007,50660568357.25916
619, General Services Administration,2006,51871646350.80769
620, Department of Defense,2009,97341486371.21841
621, General Services Administration,2009,137991438532.87857
622, Department of Defense,2007,142612127848.5707
