,naics_code,fiscal_year,base_and_all_options_value
2521, INDUSTRIAL MOLD MANUFACTURING,2016.0,834926.6600000001
2522, FRAMING CONTRACTORS,2014.0,836996.4199999999
2523, FOOD (HEALTH) SUPPLEMENT STORES,2012.0,838159.2399999998
2524, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2011.0,838829.53
2525, INDUSTRIAL DESIGN SERVICES,2015.0,839466.4299999999
2526, INLAND WATER PASSENGER TRANSPORTATION,2016.0,839719.24
2527, MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,2011.0,840769.5400000002
2528, SETUP PAPERBOARD BOX MANUFACTURING,2013.0,841751.7299999999
2529, SPORTING GOODS STORES,2014.0,841948.6000000001
2530, FABRICATED PIPE AND PIPE FITTING MANUFACTURING,2010.0,844330.46
2531, EXPLOSIVES MANUFACTURING,2014.0,844446.7999999999
2532, GLASS CONTAINER MANUFACTURING,2010.0,846774.1799999999
2533, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2013.0,848003.6300000001
2534, FARM LABOR CONTRACTORS AND CREW LEADERS,2010.0,849019.3
2535," ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",2010.0,850024.6399999999
2536, MUSICAL INSTRUMENT AND SUPPLIES STORES,2013.0,852204.16
2537, ALL OTHER CONSUMER GOODS RENTAL,2010.0,854606.81
2538, RESIDENTIAL ELECTRIC LIGHTING FIXTURE MANUFACTURING,2015.0,855977.5399999999
2539, BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2010.0,858839.53
2540, HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,2015.0,859905.3299999998
2541, UNCOATED PAPER AND MULTIWALL BAG MANUFACTURING,2015.0,859909.08
2542, MARINAS,2013.0,860341.14
2543, FAMILY CLOTHING STORES,2012.0,860798.2600000001
2544, FLUID POWER PUMP AND MOTOR MANUFACTURING,2015.0,861555.2299999999
2545, CERAMIC WALL AND FLOOR TILE MANUFACTURING,2013.0,861904.7700000003
2546, SOYBEAN FARMING,2012.0,861965.75
2547, LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2015.0,862932.39
2548," MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING",2014.0,863386.5299999998
2549, MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,2010.0,863513.1199999999
2550, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2013.0,867223.35
2551, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2011.0,870746.7499999999
2552, NEWS DEALERS AND NEWSSTANDS,2011.0,872697.2499999999
2553, NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,2011.0,875998.0099999999
2554, HOME FURNISHING MERCHANT WHOLESALERS,2010.0,876783.4500000001
2555, CEMETERIES AND CREMATORIES,2010.0,878419.5499999999
2556, OTHER SOCIAL ADVOCACY ORGANIZATIONS,2015.0,878814.1
2557, OTHER DIRECT SELLING ESTABLISHMENTS,2015.0,879895.8200000001
2558, GLASS AND GLAZING CONTRACTORS,2014.0,882838.74
2559, COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,2013.0,883348.6100000001
2560, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2015.0,883681.41
2561, TAXI SERVICE,2014.0,883804.9700000001
2562, TRAVEL TRAILER AND CAMPER MANUFACTURING,2015.0,884146.4400000001
2563, DOG AND CAT FOOD MANUFACTURING,2013.0,885459.8400000003
2564, REUPHOLSTERY AND FURNITURE REPAIR,2016.0,887408.8300000002
2565, SIDING CONTRACTORS,2016.0,887643.87
2566, FLORICULTURE PRODUCTION,2012.0,889046.43
2567, PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,2014.0,889074.78
2568, CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,2014.0,889384.05
2569," AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2014.0,890171.8199999998
2570, ALL OTHER HOME FURNISHINGS STORES,2013.0,890343.02
2571," METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)",2013.0,892743.2400000001
2572, OTHER LIGHTING EQUIPMENT MANUFACTURING,2014.0,893687.4100000001
2573," ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2015.0,893942.91
2574," SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE",2014.0,893982.64
2575, PREPRESS SERVICES,2010.0,894073.6000000001
2576, FOOTWEAR MERCHANT WHOLESALERS,2014.0,894106.9700000001
2577," PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2014.0,901393.86
2578, USED CAR DEALERS,2012.0,901979.7200000001
2579, HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,2010.0,902177.6200000002
2580, PETROCHEMICAL MANUFACTURING,2013.0,902281.1300000001
2581, ELECTRONIC CAPACITOR MANUFACTURING,2013.0,903541.2099999998
2582, WOMEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,2013.0,907110.0199999999
2583, CLAY REFRACTORY MANUFACTURING,2011.0,907689.0900000001
2584, REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2015.0,908240.82
2585, CIVIC AND SOCIAL ORGANIZATIONS,2015.0,908625.1900000001
2586, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2010.0,909011.7100000001
2587, HISTORICAL SITES,2013.0,909475.77
2588, ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,2014.0,909532.4900000001
2589, THREAD MILLS,2013.0,910445.99
2590, OTHER SPECTATOR SPORTS,2016.0,911311.57
2591, PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR),2010.0,912303.23
2592, PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2010.0,913020.4900000001
2593, WINDOW TREATMENT STORES,2015.0,913906.8999999999
2594, AUTOMATIC VENDING MACHINE MANUFACTURING,2012.0,914366.5
2595," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",2011.0,915056.2299999999
2596, HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2016.0,916817.07
2597, NONFERROUS METAL DIE-CASTING FOUNDRIES,2013.0,917031.3999999999
2598, OPHTHALMIC GOODS MERCHANT WHOLESALERS,2016.0,917631.44
2599, COTTON GINNING,2013.0,918575.0800000001
2600, OTHER CLOTHING STORES,2014.0,919116.4000000005
2601, ELEMENTARY AND SECONDARY SCHOOLS,2014.0,919339.83
2602, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2016.0,924170.2000000001
2603, PUBLIC FINANCE ACTIVITIES,2013.0,926507.0400000002
2604, STEEL FOUNDRIES (EXCEPT INVESTMENT),2016.0,930377.38
2605, FRAMING CONTRACTORS,2013.0,931980.1100000002
2606, LESSORS OF OTHER REAL ESTATE PROPERTY,2014.0,934251.5999999999
2607, FARM SUPPLIES MERCHANT WHOLESALERS,2014.0,935520.56
2608, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2016.0,936447.6000000001
2609, CUSTOM ROLL FORMING,2012.0,938442.9799999999
2610, WOOD WINDOW AND DOOR MANUFACTURING,2015.0,939207.62
2611, SUPPORT ACTIVITIES FOR COAL MINING,2016.0,940845.2400000005
2612, AIR AND GAS COMPRESSOR MANUFACTURING,2010.0,940922.2300000001
2613, OFFICES OF CHIROPRACTORS,2013.0,941026.45
2614, FINFISH FARMING AND FISH HATCHERIES,2010.0,941148.2600000002
2615, HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2015.0,941368.03
2616, SHOE STORES,2012.0,941433.27
2617, REAL ESTATE CREDIT,2011.0,942887.0200000003
2618, POWER BOILER AND HEAT EXCHANGER MANUFACTURING,2010.0,944569.1599999999
2619, GEOTHERMAL ELECTRIC POWER GENERATION,2015.0,944905.43
2620, APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2012.0,948316.81
2621, OTHER OILSEED PROCESSING,2010.0,949046.7999999999
2622, FOOD PRODUCT MACHINERY MANUFACTURING,2014.0,949764.6799999999
2623, BIOMASS ELECTRIC POWER GENERATION,2016.0,950000.0
2624, WINDOW TREATMENT STORES,2013.0,950622.3800000002
2625, FINFISH FISHING,2013.0,950860.2100000001
2626, CONCRETE BLOCK AND BRICK MANUFACTURING,2015.0,954948.67
2627," PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2012.0,956210.4099999995
2628," POTTERY, CERAMICS, AND PLUMBING FIXTURE MANUFACTURING",2016.0,957584.67
2629, PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,2012.0,958153.65
2630," HOBBY, TOY, AND GAME STORES",2015.0,958505.51
2631, OUTDOOR POWER EQUIPMENT STORES,2010.0,958886.7099999998
2632," FIBER, YARN, AND THREAD MILLS",2016.0,958993.1300000002
2633, MUSICAL GROUPS AND ARTISTS,2016.0,961169.45
2634, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2011.0,965181.2500000001
2635, CHILD DAY CARE SERVICES,2014.0,965932.0
2636, TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2013.0,968685.56
2637, ELECTRONIC SHOPPING,2015.0,969943.8399999999
2638, NATURAL GAS LIQUID EXTRACTION,2014.0,970604.53
2639, LEATHER AND HIDE TANNING AND FINISHING,2011.0,972998.9299999999
2640, FLORISTS,2013.0,974292.1100000001
2641, OTHER PERSONAL CARE SERVICES,2012.0,974564.9600000001
2642, SAWMILLS,2014.0,977196.8700000001
2643, ELEMENTARY AND SECONDARY SCHOOLS,2010.0,977486.06
2644, PERSONAL LEATHER GOOD (EXCEPT WOMEN'S HANDBAG AND PURSE) MANUFACTURING,2011.0,977998.8400000001
2645, MOTOR VEHICLE TOWING,2015.0,981124.28
2646, GROUND OR TREATED MINERAL AND EARTH MANUFACTURING,2013.0,981589.57
2647, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2016.0,984313.7000000001
2648, ENVELOPE MANUFACTURING,2010.0,985732.4000000003
2649, AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2013.0,985734.53
2650, OUTERWEAR KNITTING MILLS,2013.0,986145.29
2651, ELECTRIC LAMP BULB AND PART MANUFACTURING,2010.0,986365.1199999996
2652, OTHER SOCIAL ADVOCACY ORGANIZATIONS,2010.0,987525.44
2653, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2015.0,988263.0500000002
2654, STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,2014.0,988768.79
2655, VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,2010.0,990399.2399999998
2656, OTHER MARINE FISHING,2010.0,993302.79
2657, CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2014.0,997356.7700000004
2658, OPHTHALMIC GOODS MERCHANT WHOLESALERS,2013.0,999352.87
2659, FLORICULTURE PRODUCTION,2011.0,1000239.8400000001
2660, BOOKS PRINTING,2014.0,1000574.7500000001
2661," OTHER ALUMINUM ROLLING, DRAWING, AND EXTRUDING",2015.0,1000945.9400000001
2662, OTHER CUT AND SEW APPAREL MANUFACTURING,2014.0,1001352.3
2663, BARBER SHOPS,2016.0,1001395.75
2664, ALL OTHER NONMETALLIC MINERAL MINING,2016.0,1002147.95
2665, STEEL INVESTMENT FOUNDRIES,2013.0,1002182.4400000003
2666, MAIL-ORDER HOUSES,2015.0,1002271.6199999999
2667, MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,2014.0,1003308.1499999999
2668, RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2014.0,1004057.14
2669, URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,2014.0,1004084.9300000002
2670, HEATING OIL DEALERS,2013.0,1004248.0500000002
2671, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2012.0,1005857.9
2672, POWDER METALLURGY PART MANUFACTURING,2015.0,1007967.1600000001
2673, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2012.0,1008428.8099999999
2674, TOILET PREPARATION MANUFACTURING,2015.0,1009365.29
2675, WOOD WINDOW AND DOOR MANUFACTURING,2013.0,1009599.3700000001
2676, ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,2016.0,1010612.7200000001
2677, HEALTH AND WELFARE FUNDS,2014.0,1011905.7599999999
2678, DEEP SEA FREIGHT TRANSPORTATION,2010.0,1012520.78
2679, BURIAL CASKET MANUFACTURING,2012.0,1014096.1100000001
2680," PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",2011.0,1014812.3900000001
2681, LIVESTOCK MERCHANT WHOLESALERS,2012.0,1016531.76
2682, OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,2014.0,1017384.2000000001
2683, RENDERING AND MEAT BYPRODUCT PROCESSING,2011.0,1018077.83
2684, FISH AND SEAFOOD MERCHANT WHOLESALERS,2013.0,1018386.16
2685, ADMINISTRATION OF HOUSING PROGRAMS,2016.0,1020597.4899999999
2686, LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2010.0,1021842.3799999999
2687, FLOOR COVERING STORES,2016.0,1022399.7299999997
2688, OPTICAL GOODS STORES,2011.0,1022571.11
2689," VITREOUS CHINA, FINE EARTHENWARE, AND OTHER POTTERY PRODUCT MANUFACTURING",2012.0,1022579.8400000005
2690, SAW BLADE AND HANDTOOL MANUFACTURING,2014.0,1023798.4899999999
2691, DIMENSION STONE MINING AND QUARRYING,2011.0,1024052.44
2692, MUSICAL GROUPS AND ARTISTS,2015.0,1025615.5299999999
2693," RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",2016.0,1029003.08
2694, WAREHOUSE CLUBS AND SUPERCENTERS,2010.0,1030295.29
2695, OFFICES OF PODIATRISTS,2015.0,1030420.9
2696, MINERAL WOOL MANUFACTURING,2015.0,1030982.7300000001
2697, ELECTRONIC CAPACITOR MANUFACTURING,2010.0,1032297.9500000001
2698, ALL OTHER HEALTH AND PERSONAL CARE STORES,2016.0,1032402.909999999
2699, PET AND PET SUPPLIES STORES,2011.0,1033922.4800000001
2700, LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2013.0,1033977.46
2701, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2010.0,1035103.8099999998
2702, HARDWOOD VENEER AND PLYWOOD MANUFACTURING,2014.0,1035503.1500000001
2703, FOLDING PAPERBOARD BOX MANUFACTURING,2015.0,1036355.96
2704," WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2012.0,1037154.22
2705, CONTINUING CARE RETIREMENT COMMUNITIES,2010.0,1038000.04
2706, WOOD CONTAINER AND PALLET MANUFACTURING,2014.0,1038550.0599999999
2707, FAMILY PLANNING CENTERS,2015.0,1040000.0
2708, CURTAIN AND LINEN MILLS,2014.0,1040553.18
2709, OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2016.0,1043264.26
2710, REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2011.0,1043843.2000000001
2711, ELECTRONIC SHOPPING,2013.0,1045147.81
2712, TITLE ABSTRACT AND SETTLEMENT OFFICES,2014.0,1045740.0299999997
2713, INLAND WATER PASSENGER TRANSPORTATION,2015.0,1046258.8099999999
2714, EXECUTIVE OFFICES,2013.0,1047489.23
2715, METAL HEAT TREATING,2012.0,1047584.12
2716, POWDER METALLURGY PART MANUFACTURING,2016.0,1048291.1599999999
2717, NATURAL GAS LIQUID EXTRACTION,2015.0,1051721.86
2718, CUSTOM ROLL FORMING,2011.0,1052346.81
2719, FERTILIZER (MIXING ONLY) MANUFACTURING,2012.0,1053373.4100000001
2720, EXECUTIVE SEARCH SERVICES,2016.0,1053748.0
2721, FOOD PRODUCT MACHINERY MANUFACTURING,2010.0,1055124.3900000001
2722, OTHER MILLWORK (INCLUDING FLOORING),2012.0,1057716.0699999998
2723, REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2014.0,1058285.5
2724, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2015.0,1059137.13
2725, DRILLING OIL AND GAS WELLS,2011.0,1060806.75
2726, WHOLESALE TRADE AGENTS AND BROKERS,2014.0,1060849.3899999997
2727, INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2014.0,1063112.46
2728, HORSES AND OTHER EQUINE PRODUCTION,2012.0,1063228.78
2729," TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",2014.0,1063761.69
2730, METAL TANK (HEAVY GAUGE) MANUFACTURING,2014.0,1069346.9
2731, CLOTHING ACCESSORIES STORES,2014.0,1069560.8499999999
2732, SHELLFISH FISHING,2010.0,1070865.8399999999
2733, ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2014.0,1071368.8000000003
2734, ALKALIES AND CHLORINE MANUFACTURING,2013.0,1071726.03
2735," BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",2010.0,1071904.4
2736, ROOMING AND BOARDING HOUSES,2015.0,1072500.27
2737, OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2010.0,1072621.9600000002
2738, OTHER SOUND RECORDING INDUSTRIES,2010.0,1073236.96
2739, ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS,2014.0,1074380.6899999997
2740, SOLAR ELECTRIC POWER GENERATION,2016.0,1079805.39
2741," GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",2010.0,1081147.99
2742, PLASTICS BAG MANUFACTURING,2014.0,1081265.44
2743, SOYBEAN FARMING,2011.0,1081753.98
2744, WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016.0,1084239.7399999998
2745, OTHER DEPOSITORY CREDIT INTERMEDIATION,2015.0,1084757.55
2746, OTHER FINANCIAL VEHICLES,2010.0,1084936.0999999999
2747, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2010.0,1086891.8399999999
2748, MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,2016.0,1090945.05
2749, INDUSTRIAL PATTERN MANUFACTURING,2012.0,1091043.9700000002
2750, DRAFTING SERVICES,2013.0,1092671.69
2751, ALUMINA REFINING AND PRIMARY ALUMINUM PRODUCTION,2013.0,1093848.5099999998
2752, COSMETOLOGY AND BARBER SCHOOLS,2012.0,1095449.9
2753, CLAY AND CERAMIC AND REFRACTORY MINERALS MINING,2011.0,1097904.9000000001
2754, PET AND PET SUPPLIES STORES,2012.0,1099368.72
2755, COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION,2016.0,1101271.42
2756, TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2010.0,1102489.9400000002
2757, FINISH CARPENTRY CONTRACTORS,2014.0,1103706.73
2758, FARM LABOR CONTRACTORS AND CREW LEADERS,2014.0,1104409.28
2759, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2013.0,1105390.1699999997
2760, FINFISH FARMING AND FISH HATCHERIES,2014.0,1105460.76
2761, SPORTS AND RECREATION INSTRUCTION,2015.0,1109678.91
2762, NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,2012.0,1109795.91
2763, ALL OTHER ANIMAL PRODUCTION,2014.0,1115032.42
2764, BOTTLED WATER MANUFACTURING,2014.0,1117084.8900000001
2765, OTHER APPAREL KNITTING MILLS,2016.0,1122032.66
2766, TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2010.0,1122620.8400000005
2767, ICE MANUFACTURING,2015.0,1122817.8100000003
2768, FARM SUPPLIES MERCHANT WHOLESALERS,2015.0,1123736.5399999996
2769, ALL OTHER GENERAL MERCHANDISE STORES,2013.0,1124439.7299999997
2770, SEMICONDUCTOR MACHINERY MANUFACTURING,2013.0,1125665.93
2771, OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,2014.0,1125832.9600000002
2772, LAND SUBDIVISION,2016.0,1126113.8900000001
2773, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2010.0,1127170.95
2774, TILE AND TERRAZZO CONTRACTORS,2013.0,1127541.65
2775, MANUFACTURED (MOBILE) HOME DEALERS,2012.0,1128947.92
2776, REAL ESTATE CREDIT,2012.0,1129017.0699999998
2777," OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2013.0,1131908.57
2778, ICE MANUFACTURING,2013.0,1131966.85
2779, ENVELOPE MANUFACTURING,2015.0,1133695.7300000002
2780, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2015.0,1136794.7200000002
2781, OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,2014.0,1139719.42
2782, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2015.0,1139999.4700000002
2783, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2010.0,1140070.1
2784, OTHER METAL CONTAINER MANUFACTURING,2014.0,1141834.0399999996
2785, BLIND AND SHADE MANUFACTURING,2015.0,1142348.17
2786, BOOK STORES,2012.0,1142697.5599999998
2787," COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2010.0,1145019.08
2788, FRUIT AND VEGETABLE MARKETS,2010.0,1146578.8099999998
2789, BITUMINOUS COAL UNDERGROUND MINING,2016.0,1148209.31
2790, OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2010.0,1151754.3099999998
2791, QUICK PRINTING,2015.0,1152311.0100000016
2792," TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2011.0,1157056.29
2793, NONCLAY REFRACTORY MANUFACTURING,2011.0,1157640.4
2794, UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING,2016.0,1158541.0600000003
2795, SYNTHETIC RUBBER MANUFACTURING,2012.0,1159081.9300000004
2796, ADVERTISING MATERIAL DISTRIBUTION SERVICES,2013.0,1159157.6500000001
2797, WOOD PRESERVATION,2012.0,1159255.5300000003
2798, DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS,2015.0,1161162.3900000001
2799, MEDIA REPRESENTATIVES,2013.0,1162870.8999999997
2800, NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2016.0,1163402.36
2801, FRAMING CONTRACTORS,2015.0,1164423.16
2802, FLAT GLASS MANUFACTURING,2013.0,1165271.79
2803, SIDING CONTRACTORS,2010.0,1165806.05
2804, MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,2012.0,1168916.1600000001
2805, OTHER COMMUNITY HOUSING SERVICES,2014.0,1170101.67
2806," ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",2013.0,1172952.34
2807, RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2016.0,1177312.66
2808, BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2014.0,1178054.26
2809, DIRECT TITLE INSURANCE CARRIERS,2011.0,1178326.0699999998
2810," GIFT, NOVELTY, AND SOUVENIR STORES",2016.0,1181227.0399999998
2811," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2013.0,1182114.8499999996
2812, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2010.0,1183659.13
2813, OFFICES OF OPTOMETRISTS,2014.0,1183891.16
2814, CUSTOM COMPOUNDING OF PURCHASED RESINS,2013.0,1184576.8599999999
2815, BUSINESS TO BUSINESS ELECTRONIC MARKETS,2012.0,1186956.36
2816, OTHER METALWORKING MACHINERY MANUFACTURING,2016.0,1190676.97
2817, FARM MANAGEMENT SERVICES,2014.0,1191575.9
2818, PAPER INDUSTRY MACHINERY MANUFACTURING,2012.0,1192793.7399999998
2819, MOTION PICTURE AND VIDEO DISTRIBUTION,2013.0,1195950.05
2820, SPRING (LIGHT GAUGE) MANUFACTURING,2011.0,1196068.1300000004
2821, PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2014.0,1197028.5400000003
2822, FLOOR COVERING STORES,2010.0,1197314.95
2823, ASSISTED LIVING FACILITIES FOR THE ELDERLY,2010.0,1198181.85
2824, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2016.0,1198610.49
2825, OPTICAL GOODS STORES,2016.0,1199625.16
2826, MEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,2010.0,1200461.2399999993
2827, COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION,2014.0,1200885.81
2828, COIN-OPERATED LAUNDRIES AND DRYCLEANERS,2011.0,1202020.5700000003
2829," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",2011.0,1206594.46
2830, BARBER SHOPS,2012.0,1207069.0
2831, METAL HEAT TREATING,2011.0,1209999.0
2832, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2014.0,1212047.8600000003
2833, EXTERMINATING AND PEST CONTROL SERVICES,2014.0,1212405.6300000001
2834, COPPER WIRE (EXCEPT MECHANICAL) DRAWING,2013.0,1214255.8800000004
2835, OFFICES OF OTHER HOLDING COMPANIES,2010.0,1214798.25
2836, BURIAL CASKET MANUFACTURING,2016.0,1216552.97
2837, OILSEED (EXCEPT SOYBEAN) FARMING,2013.0,1216719.5499999998
2838, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2011.0,1218662.1700000004
2839, OTHER DEPOSITORY CREDIT INTERMEDIATION,2010.0,1221065.33
2840, HISTORICAL SITES,2015.0,1221084.28
2841, LOCKSMITHS,2010.0,1221964.9100000001
2842, ALL OTHER LEATHER GOOD MANUFACTURING,2016.0,1222069.86
2843, MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2016.0,1224502.96
2844, ALL OTHER NONMETALLIC MINERAL MINING,2013.0,1226713.44
2845, CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,2016.0,1227026.9
2846, REPOSSESSION SERVICES,2010.0,1227905.88
2847, PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,2014.0,1228180.6199999999
2848, CUSTOM COMPOUNDING OF PURCHASED RESINS,2016.0,1230440.83
2849, MEAT PROCESSED FROM CARCASSES,2010.0,1232491.13
2850, DIRECTORY AND MAILING LIST PUBLISHERS,2014.0,1233678.2
2851, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2016.0,1235744.6599999997
2852, PREPRESS SERVICES,2015.0,1235802.6
2853, OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2015.0,1238621.93
2854, HORSES AND OTHER EQUINE PRODUCTION,2013.0,1242905.4
2855, ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING,2015.0,1243137.96
2856, BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2015.0,1244255.8899999997
2857, IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING,2014.0,1246546.16
2858, USED CAR DEALERS,2011.0,1247873.25
2859, RECREATIONAL GOODS RENTAL,2013.0,1248052.02
2860, SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,2015.0,1249427.1199999999
