,naics_code,fiscal_year,base_and_all_options_value
10607," SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2009,58150913.64999994
10608, COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2008,58294443.48000005
10609, ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2006,58302552.20999997
10610, OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2008,58394462.4
10611, BLOOD AND ORGAN BANKS,2005,58511328.38000001
10612, SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),2003,58774280.8
10613, GRAPHIC DESIGN SERVICES,2009,58780912.010000035
10614, ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2002,58839586.5
10615, OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2005,58867056.3
10616, PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2008,58916735.59000002
10617, SOLID WASTE COLLECTION,2008,58989220.139999986
10618, PAYROLL SERVICES,2009,59129723.5
10619, MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,2003,59187615.37
10620, ELECTRONIC COMPUTER MANUFACTURING,2001,59233995.69000001
10621, BUILDING INSPECTION SERVICES,2004,59298962.51999997
10622, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2001,59331761.160000004
10623," SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2007,59360661.69999995
10624, HAND AND EDGE TOOL MANUFACTURING,2008,59527591.34999971
10625, CATERERS,2006,59711263.29000001
10626, OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2004,59741044.17000004
10627, OTHER MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,2008,59869261.46
10628," COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2009,59968278.60999998
10629, OFFICES OF LAWYERS,2007,60001826.75
10630, OTHER FUEL DEALERS,2006,60020744.38000007
10631," SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",2003,60024198.0
10632, RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2001,60072359.82000001
10633, FREIGHT TRANSPORTATION ARRANGEMENT,2006,60123671.35000001
10634, HAND AND EDGE TOOL MANUFACTURING,2006,60134000.080000505
10635, LABORATORY APPARATUS AND FURNITURE MANUFACTURING,2005,60236650.38999993
10636, MOTION PICTURE AND VIDEO PRODUCTION,2007,60307392.43000001
10637, USED HOUSEHOLD AND OFFICE GOODS MOVING,2009,60424804.46999997
10638, WATER SUPPLY AND IRRIGATION SYSTEMS,2005,60429817.72000001
10639, LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2004,60435854.300000004
10640, CONVENTION AND TRADE SHOW ORGANIZERS,2009,60750389.45000001
10641, OTHER BUILDING FINISHING CONTRACTORS,2007,60758413.12000003
10642, COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2003,60908600.37999999
10643, CONSTRUCTION MACHINERY MANUFACTURING,2008,60961938.99000002
10644, INVESTIGATION SERVICES,2004,61039503.860000014
10645, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,2009,61074192.510000005
10646, OTHER METAL CONTAINER MANUFACTURING,2008,61078127.109999985
10647," CARBURETOR, PISTON, PISTON RING, AND VALVE MANUFACTURING",2009,61087840.099999994
10648, MEDICAL LABORATORIES,2003,61170462.04000001
10649, PAINT AND COATING MANUFACTURING,2007,61223750.62999968
10650, POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2005,61242582.43000001
10651, OTHER BUILDING FINISHING CONTRACTORS,2009,61409819.70000002
10652, HAZARDOUS WASTE TREATMENT AND DISPOSAL,2003,61434392.13
10653, VOCATIONAL REHABILITATION SERVICES,2007,61652152.28000001
10654, FLIGHT TRAINING,2008,61686106.36000001
10655, QUICK PRINTING,2005,61738738.45
10656, ADMINISTRATION OF PUBLIC HEALTH PROGRAMS,2005,61749401.61999999
10657," CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2009,61832645.46000005
10658, PROFESSIONAL ORGANIZATIONS,2007,61884257.93000002
10659, DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2007,61884345.36999998
10660," OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2009,61937684.06000001
10661," INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",2006,61948883.18000003
10662, MOTOR AND GENERATOR MANUFACTURING,2008,62057792.63
10663, INDUSTRIAL LAUNDERERS,2009,62128842.080000065
10664, ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2008,62280187.50999999
10665, GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,2007,62328070.089999974
10666, SOFTWARE PUBLISHERS,2001,62366510.730000004
10667, OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2007,62408018.10999998
10668, BARE PRINTED CIRCUIT BOARD MANUFACTURING,2008,62498106.34000002
10669, OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),2005,62573955.20999997
10670, ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,2008,62603662.04000001
10671, GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,2007,62679179.87
10672, ICE MANUFACTURING,2007,62789088.28000001
10673, MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2009,62996962.53
10674, OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,2008,63243076.39000001
10675, FABRICATED PIPE AND PIPE FITTING MANUFACTURING,2007,63395787.98000002
10676, ALL OTHER PUBLISHERS,2005,63398750.93
10677, INDUSTRIAL GAS MANUFACTURING,2006,63413492.93999976
10678, SECURITY GUARDS AND PATROL SERVICES,2002,63515933.440000005
10679, COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2003,63567669.44
10680, JANITORIAL SERVICES,2002,63595596.0
10681, MEDICINAL AND BOTANICAL MANUFACTURING,2009,63598242.1
10682, FOOD SERVICE CONTRACTORS,2005,63634721.88000003
10683, ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2004,63641494.87000001
10684," PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2007,63709326.39000002
10685, ALL OTHER INFORMATION SERVICES,2005,63892615.349999994
10686, GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,2005,63918660.449999996
10687, TELECOMMUNICATIONS RESELLERS,2009,64023408.70000001
10688, AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,2008,64168488.91
10689, RESIDENTIAL REMODELERS,2009,64197624.39000005
10690, TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,2006,64299058.78
10691, MOTION PICTURE AND VIDEO PRODUCTION,2009,64384187.90999999
10692, SHIP BUILDING AND REPAIRING,2004,64519110.620000005
10693, OTHER ELECTRIC POWER GENERATION,2009,64547296.069999985
10694, COMMERCIAL BAKERIES,2009,64562381.380000025
10695, ELECTRONIC CONNECTOR MANUFACTURING,2008,64578000.21000001
10696, PUBLIC RELATIONS AGENCIES,2008,64634968.45999999
10697, OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2001,64647751.43
10698, HAZARDOUS WASTE COLLECTION,2009,64833201.53999997
10699, PAINTING AND WALL COVERING CONTRACTORS,2006,64862177.60000003
10700, FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,2009,64911711.19999992
10701, HARDWARE MANUFACTURING,2008,65142801.78000003
10702, BUILDING INSPECTION SERVICES,2009,65163101.10999998
10703, DOCUMENT PREPARATION SERVICES,2009,65202726.46000001
10704, TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2009,65247513.23000002
10705, PUBLIC RELATIONS AGENCIES,2000,65437126.0
10706, MEAT PROCESSED FROM CARCASSES,2009,65554374.219999954
10707, OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2003,65612750.050000004
10708, OTHER TELECOMMUNICATIONS,2009,65795581.72000002
10709, CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,2006,65960738.43
10710, POULTRY PROCESSING,2008,66106631.60000001
10711, PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,2008,66203446.210000016
10712, HOME HEALTH CARE SERVICES,2004,66206212.589999996
10713, ALL OTHER PERSONAL SERVICES,2008,66235582.23999999
10714, SPACE RESEARCH AND TECHNOLOGY,2006,66242013.53
10715, ARCHITECTURAL SERVICES,2001,66449422.41000002
10716, INDUSTRIAL BUILDING CONSTRUCTION,2004,66542242.20999999
10717, OFFICES OF DENTISTS,2006,66642710.82000001
10718, SCHOOL AND EMPLOYEE BUS TRANSPORTATION,2007,66647991.53
10719, MARKETING RESEARCH AND PUBLIC OPINION POLLING,2006,66655046.059999995
10720, BOTTLED WATER MANUFACTURING,2006,66662230.089999996
10721, NATURAL GAS DISTRIBUTION,2008,66687208.519999966
10722, BOAT BUILDING,2008,66736349.62000002
10723, TESTING LABORATORIES,2008,66853879.620000005
10724, DIRECT MAIL ADVERTISING,2007,66887567.92
10725, ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,2009,66958939.32000008
10726, MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,2007,67213936.97
10727, DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2007,67319489.58000004
10728, OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,2003,67358471.11000001
10729, OTHER ELECTRIC POWER GENERATION,2006,67385335.52999999
10730, IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2006,67604007.66000004
10731, PAPER (EXCEPT NEWSPRINT) MILLS,2004,67810258.95
10732, OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2003,68000991.10000001
10733, OPHTHALMIC GOODS MANUFACTURING,2007,68034712.77
10734, SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2007,68057754.16
10735, BOOK PUBLISHERS,2007,68119929.47
10736, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2005,68157239.56
10737, INTERNET SERVICE PROVIDERS,2007,68182666.18999998
10738, NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2002,68212099.56
10739, MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,2007,68306615.42
10740, MARKETING CONSULTING SERVICES,2006,68545516.01999997
10741, GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,2006,68650717.41
10742, INDUSTRIAL DESIGN SERVICES,2007,68755304.02
10743, ALL OTHER INFORMATION SERVICES,2004,69016173.91000001
10744, STORAGE BATTERY MANUFACTURING,2009,69053471.44
10745, MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,2009,69054251.97000001
10746, ALL OTHER INSURANCE RELATED ACTIVITIES,2009,69077443.57000001
10747, SEWAGE TREATMENT FACILITIES,2009,69104283.97999999
10748, GRAIN AND FIELD BEAN WHOLESALERS,2004,69172357.44999999
10749, DOCUMENT PREPARATION SERVICES,2006,69253072.07
10750, AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,2006,69504529.05000004
10751, LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2005,69600888.52
10752, COMPUTER TRAINING,2008,69683004.1
10753, POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,2007,69708924.11000001
10754, OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2008,69744907.47999997
10755, ALL OTHER CUT AND SEW APPAREL MANUFACTURING,2007,69818286.63
10756, ADVERTISING AGENCIES,2004,70091769.22
10757, OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,2002,70214650.34999998
10758, OTHER ELECTRONIC COMPONENT MANUFACTURING,2002,70242286.0
10759, OTHER AIRPORT OPERATIONS,2007,70252762.82
10760," COPPER ROLLING, DRAWING, AND EXTRUDING",2009,70427630.91
10761, PRINTING INK MANUFACTURING,2005,70526705.33999999
10762, INTERNATIONAL AFFAIRS,2007,70567306.25999999
10763, ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2008,70667547.30000001
10764," PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2006,70724875.86999997
10765, AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2009,70793813.54999994
10766, TEMPORARY HELP SERVICES,2002,70798076.92
10767, ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2001,70881053.0
10768, OTHER SERVICES TO BUILDINGS AND DWELLINGS,2008,70884905.10999997
10769, FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,2006,70892632.47999999
10770, OTHER NONSCHEDULED AIR TRANSPORTATION,2009,70907395.31
10771, OTHER SNACK FOOD MANUFACTURING,2009,71034245.11999999
10772, MEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,2009,71057365.91
10773, SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2001,71072783.32
10774, PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2004,71227591.5
10775, ALL OTHER OUTPATIENT CARE CENTERS,2007,71344010.54999998
10776, OTHER TELECOMMUNICATIONS,2004,71523885.57000001
10777, ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2009,72019743.51999997
10778, ALL OTHER INFORMATION SERVICES,2006,72029091.95999995
10779," COPPER ROLLING, DRAWING, AND EXTRUDING",2004,72031391.75999999
10780, INTERIOR DESIGN SERVICES,2006,72104929.51000008
10781," PLASTICS, FOIL, AND COATED PAPER BAG MANUFACTURING",2007,72105804.55000001
10782," COPPER ROLLING, DRAWING, AND EXTRUDING",2005,72158523.87
10783, HEAVY DUTY TRUCK MANUFACTURING,2005,72254304.31
10784, THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,2009,72256636.07000001
10785, WIRED TELECOMMUNICATIONS CARRIERS,2004,72409960.31000005
10786, GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,2008,72550615.39
10787, DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2006,72566804.45999981
10788, CATERERS,2007,72574365.92
10789, MARKETING RESEARCH AND PUBLIC OPINION POLLING,2007,72682492.64
10790, SUPPORT ACTIVITIES FOR FORESTRY,2008,72765726.01999998
10791, SEWAGE TREATMENT FACILITIES,2005,72811035.83000003
10792, PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2005,72903226.97000003
10793, PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2006,72984217.49000004
10794," INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2006,73056895.86000001
10795, PRINTING INK MANUFACTURING,2006,73078145.13000001
10796, PLATE WORK MANUFACTURING,2009,73083204.83999994
10797, COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2005,73167072.24999997
10798, DOCUMENT PREPARATION SERVICES,2007,73203130.23999998
10799," HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",2008,73205915.32999998
10800," FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",2006,73296724.14
10801, FARM SUPPLIES MERCHANT WHOLESALERS,2007,73306687.97000003
10802, ALL OTHER HEAVY CONSTRUCTION,2002,73312359.28
10803, CANVAS AND RELATED PRODUCT MILLS,2006,73393002.75999998
10804, LANDSCAPING SERVICES,2005,73400120.55
10805, OTHER ACTIVITIES RELATED TO REAL ESTATE,2006,73411665.46000001
10806, TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,2003,73670953.0
10807, COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2008,73835662.38
10808, CURRENT-CARRYING WIRING DEVICE MANUFACTURING,2007,73888668.08000001
10809, SPORTING AND ATHLETIC GOODS MANUFACTURING,2006,73970003.9
10810, AMBULANCE SERVICES,2007,74014495.58999997
10811, PARKING LOTS AND GARAGES,2009,74169128.10000002
10812, OTHER WASTE COLLECTION,2006,74274886.11999997
10813, SOYBEAN PROCESSING,2006,74316074.5
10814, REMEDIATION SERVICES,2002,74339560.0
10815, NAVIGATIONAL SERVICES TO SHIPPING,2007,74341420.75
10816, ELECTRON TUBE MANUFACTURING,2007,74469943.85
10817, SCHOOL AND EMPLOYEE BUS TRANSPORTATION,2006,74543071.24999997
10818, PLATE WORK MANUFACTURING,2007,74579827.99999997
10819, COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2007,74585996.03
10820, POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2008,74645216.37000002
10821, OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2004,74838614.44
10822, GENERAL WAREHOUSING AND STORAGE,2005,75097042.95
10823, AUTOMOBILE DRIVING SCHOOLS,2005,75137602.5
10824, LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2009,75173739.85000001
10825, GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,2005,75213302.0
10826, LOCAL MESSENGERS AND LOCAL DELIVERY,2008,75246312.18
10827, ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2006,75313696.57
10828," BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",2003,75342710.96000001
10829, COMPUTER STORAGE DEVICE MANUFACTURING,2009,75497589.95000005
10830," COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",2007,75535745.77
10831, OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2007,75555994.19999997
10832, SINGLE FAMILY HOUSING CONSTRUCTION,2004,75609772.03
10833, SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2007,75659508.38000001
10834, TELEPHONE APPARATUS MANUFACTURING,2004,75669284.56000008
10835, EXTERMINATING AND PEST CONTROL SERVICES,2005,75915219.89
10836, GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,2006,75933894.0
10837, PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,2006,76002421.57
10838, OFFICE ADMINISTRATIVE SERVICES,2001,76052241.66999997
10839, NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,2006,76058488.08999975
10840, MACHINE SHOPS,2007,76097380.92999999
10841, PUBLIC RELATIONS AGENCIES,2004,76110556.89999999
10842, OTHER INDIVIDUAL AND FAMILY SERVICES,2006,76148096.74999999
10843, TRANSLATION AND INTERPRETATION SERVICES,2005,76156119.95000005
10844," OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2007,76173097.31000002
10845, TIRE MANUFACTURING (EXCEPT RETREADING),2009,76234381.27000001
10846, FLUID MILK MANUFACTURING,2009,76264265.53999999
10847, ALL OTHER SUPPORT SERVICES,2002,76291642.81
10848, UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING,2009,76362567.13000001
10849, INTERNATIONAL AFFAIRS,2009,76447508.73999998
10850, ALL OTHER OUTPATIENT CARE CENTERS,2006,76576666.37999998
10851, SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2000,76645411.41
10852, OTHER MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,2009,76716554.36
10853, FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,2009,76805763.48
10854, SPORTING GOODS STORES,2006,76950610.32000001
10855," ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2001,76962079.28
10856, DIAGNOSTIC IMAGING CENTERS,2006,76983447.98999994
10857, INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,2008,76994724.32000001
10858, STEAM AND AIR-CONDITIONING SUPPLY,2009,77000008.73999998
10859, CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,2007,77164148.02000001
10860, MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,2003,77203217.0
10861, DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2009,77406351.68000016
10862, ALL OTHER PUBLISHERS,2007,77697871.68000004
10863, OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2005,77842126.11999997
10864, TRANSLATION AND INTERPRETATION SERVICES,2008,77847705.94000001
10865, PHARMACEUTICAL PREPARATION MANUFACTURING,2003,77904241.35
10866, COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2005,77940552.1
10867, PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2002,77966474.0
10868, FURNITURE MERCHANT WHOLESALERS,2009,77985613.17999995
10869, CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,2005,78162795.18999998
10870, SITE PREPARATION CONTRACTORS,2008,78186270.83000003
10871, MOTOR VEHICLE BODY MANUFACTURING,2008,78283863.73
10872, OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,2005,78443514.71000001
10873, ALL OTHER LEGAL SERVICES,2005,78521675.53999999
10874, ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,2008,78718047.73000003
10875, CONVENTION AND TRADE SHOW ORGANIZERS,2007,78789567.72999997
10876, TEXTILE BAG MILLS,2007,78792975.69
10877, PAPER (EXCEPT NEWSPRINT) MILLS,2007,78845436.98000015
10878, COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2008,78875899.96
10879," COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",2009,78900222.26999998
10880, RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2003,78928758.71
10881," PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2003,79000834.43
10882, BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,2007,79136244.16999999
10883, OTHER ACTIVITIES RELATED TO REAL ESTATE,2009,79420817.38000003
10884, TELEPHONE ANSWERING SERVICES,2009,79541933.89000003
10885, LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2004,79619740.24999999
10886," CARBURETOR, PISTON, PISTON RING, AND VALVE MANUFACTURING",2007,79720293.27000001
10887, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2009,79751509.32000005
10888, WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2005,79947110.65000004
10889, GENERAL MEDICAL AND SURGICAL HOSPITALS,2003,79965556.93000002
10890, OFFICE SUPPLIES AND STATIONERY STORES,2002,80144473.89
10891, NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2007,80403389.8
10892, FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,2007,80457971.9
10893, ALL OTHER LEGAL SERVICES,2004,80546860.4
10894, PAPER (EXCEPT NEWSPRINT) MILLS,2006,80663689.83000016
10895," GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",2006,80848439.59
10896, FRUIT AND VEGETABLE CANNING,2008,81178531.76
10897, TITLE ABSTRACT AND SETTLEMENT OFFICES,2009,81400800.97000004
10898," COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2007,81441241.62000006
10899, ,2004,81680185.91000001
10900, PLASTICS PIPE AND PIPE FITTING MANUFACTURING,2006,81791548.35999997
10901, INSTITUTIONAL FURNITURE MANUFACTURING,2007,81909211.30999997
10902, OTHER INDIVIDUAL AND FAMILY SERVICES,2009,82177793.71000001
10903, OTHER WAREHOUSING AND STORAGE,2009,82337868.67999998
10904, PLASTICS PIPE AND PIPE FITTING MANUFACTURING,2009,82578684.35999995
10905, FACILITIES SUPPORT SERVICES,2000,82932342.63999999
10906," PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2004,82953094.73000002
10907, OTHER WASTE COLLECTION,2007,83085988.24999996
10908, OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING,2007,83139685.66999997
10909, MARINE CARGO HANDLING,2007,83228746.34
10910, BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,2006,83347576.56
10911, FURNITURE MERCHANT WHOLESALERS,2007,83380808.85000001
10912, AUTOMOTIVE PARTS AND ACCESSORIES STORES,2007,83412560.62999995
10913, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2007,83461598.82
10914, OTHER SERVICES TO BUILDINGS AND DWELLINGS,2006,83545509.31000005
10915, OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2009,83625737.72999996
10916, SPACE RESEARCH AND TECHNOLOGY,2007,83745895.92000003
10917, TELEPHONE APPARATUS MANUFACTURING,2005,83830929.7500003
10918, SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2002,83887216.78
10919, MEN'S AND BOYS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,2009,83922269.89999998
10920," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES WHOLESALERS",2004,83943997.06000002
10921, PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2008,84142007.16999997
10922, NATURAL GAS DISTRIBUTION,2005,84144196.12
10923, PHARMACEUTICAL PREPARATION MANUFACTURING,2004,84173247.52999999
10924, OTHER BUILDING EQUIPMENT CONTRACTORS,2006,84307746.31999996
10925, OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2005,84323473.27
10926, WOOD OFFICE FURNITURE MANUFACTURING,2009,84591024.89000006
10927, ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING,2008,84657847.37999997
10928, USED HOUSEHOLD AND OFFICE GOODS MOVING,2006,84745854.38000001
10929, COMPUTER FACILITIES MANAGEMENT SERVICES,2002,84873859.52
10930, BUILDING INSPECTION SERVICES,2005,84964742.39000003
10931, MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,2007,85073332.77
10932, ALL OTHER PLASTICS PRODUCT MANUFACTURING,2009,85074535.17999995
10933, BALL AND ROLLER BEARING MANUFACTURING,2002,85424077.0
10934, CONSTRUCTION MACHINERY MANUFACTURING,2006,85631632.85000002
10935," OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES",2003,85820000.0
10936, MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,2006,86105881.74000001
10937," NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",2008,86273333.52999999
10938, IRRADIATION APPARATUS MANUFACTURING,2007,86281998.78999998
10939, OTHER AIRPORT OPERATIONS,2009,86355160.33999996
10940," SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2004,86518193.88
